SoC E[V] Tiempo logChi logEle
0.002701 0.009515 0.000474 -0.078740 -0.362205
0.005868 0.008418 0.001421 -0.078740 -0.362205
0.009680 0.007061 0.002368 -0.078740 -0.362205
0.013227 0.006684 0.003316 -0.078740 -0.362205
0.017201 0.005788 0.004263 -0.078740 -0.362205
0.020908 0.005469 0.005210 -0.078740 -0.362205
0.024452 0.005129 0.006158 -0.078740 -0.362205
0.028190 0.004124 0.007105 -0.078740 -0.362205
0.031973 0.003494 0.008052 -0.078740 -0.362205
0.036148 0.002904 0.009000 -0.078740 -0.362205
0.040351 0.002527 0.009947 -0.078740 -0.362205
0.044270 0.001971 0.010894 -0.078740 -0.362205
0.048271 0.001690 0.011842 -0.078740 -0.362205
0.052596 0.001680 0.012789 -0.078740 -0.362205
0.056684 0.000684 0.013736 -0.078740 -0.362205
0.060793 0.001150 0.014684 -0.078740 -0.362205
0.064733 0.000866 0.015631 -0.078740 -0.362205
0.068742 0.000278 0.016578 -0.078740 -0.362205
0.072645 0.000131 0.017526 -0.078740 -0.362205
0.076473 -0.000015 0.018473 -0.078740 -0.362205
0.080339 -0.000183 0.019420 -0.078740 -0.362205
0.083991 -0.000096 0.020367 -0.078740 -0.362205
0.088197 -0.000904 0.021315 -0.078740 -0.362205
0.092083 -0.000944 0.022262 -0.078740 -0.362205
0.095760 -0.001423 0.023209 -0.078740 -0.362205
0.099574 -0.002275 0.024157 -0.078740 -0.362205
0.103592 -0.001997 0.025104 -0.078740 -0.362205
0.107324 -0.001925 0.026051 -0.078740 -0.362205
0.111609 -0.002831 0.026999 -0.078740 -0.362205
0.115518 -0.002797 0.027946 -0.078740 -0.362205
0.119130 -0.003010 0.028893 -0.078740 -0.362205
0.123104 -0.002871 0.029841 -0.078740 -0.362205
0.127076 -0.003334 0.030788 -0.078740 -0.362205
0.130646 -0.003578 0.031735 -0.078740 -0.362205
0.135123 -0.004566 0.032683 -0.078740 -0.362205
0.139379 -0.004510 0.033630 -0.078740 -0.362205
0.143137 -0.004509 0.034577 -0.078740 -0.362205
0.147160 -0.004522 0.035525 -0.078740 -0.362205
0.151264 -0.004377 0.036472 -0.078740 -0.362205
0.155206 -0.005186 0.037419 -0.078740 -0.362205
0.159334 -0.005640 0.038367 -0.078740 -0.362205
0.163193 -0.005411 0.039314 -0.078740 -0.362205
0.166818 -0.005639 0.040261 -0.078740 -0.362205
0.170513 -0.005840 0.041209 -0.078740 -0.362205
0.174352 -0.006153 0.042156 -0.078740 -0.362205
0.178260 -0.006075 0.043103 -0.078740 -0.362205
0.182245 -0.006456 0.044051 -0.078740 -0.362205
0.186257 -0.006502 0.044998 -0.078740 -0.362205
0.190384 -0.007523 0.045945 -0.078740 -0.362205
0.194838 -0.007342 0.046893 -0.078740 -0.362205
0.198805 -0.007031 0.047840 -0.078740 -0.362205
0.202854 -0.007871 0.048787 -0.078740 -0.362205
0.207306 -0.008857 0.049735 -0.078740 -0.362205
0.211711 -0.007922 0.050682 -0.078740 -0.362205
0.215801 -0.008220 0.051629 -0.078740 -0.362205
0.219919 -0.009902 0.052577 -0.078740 -0.362205
0.224124 -0.009705 0.053524 -0.078740 -0.362205
0.227959 -0.009445 0.054471 -0.078740 -0.362205
0.231571 -0.009686 0.055419 -0.078740 -0.362205
0.235911 -0.009385 0.056366 -0.078740 -0.362205
0.240269 -0.009877 0.057313 -0.078740 -0.362205
0.244255 -0.010576 0.058261 -0.078740 -0.362205
0.248094 -0.010983 0.059208 -0.078740 -0.362205
0.252466 -0.010774 0.060155 -0.078740 -0.362205
0.256458 -0.011057 0.061102 -0.078740 -0.362205
