SoC E[V] Tiempo logChi logEle
0.001089 -0.074963 0.000048 -0.314961 0.629921
0.003835 -0.076184 0.000145 -0.314961 0.629921
0.007316 -0.077264 0.000241 -0.314961 0.629921
0.011200 -0.078845 0.000338 -0.314961 0.629921
0.015052 -0.079156 0.000434 -0.314961 0.629921
0.018840 -0.080766 0.000531 -0.314961 0.629921
0.022682 -0.082220 0.000627 -0.314961 0.629921
0.026544 -0.083365 0.000723 -0.314961 0.629921
0.030415 -0.082837 0.000820 -0.314961 0.629921
0.034414 -0.084896 0.000916 -0.314961 0.629921
0.038279 -0.086236 0.001013 -0.314961 0.629921
0.042330 -0.088102 0.001109 -0.314961 0.629921
0.046305 -0.089105 0.001206 -0.314961 0.629921
0.050489 -0.092627 0.001302 -0.314961 0.629921
0.054303 -0.093406 0.001399 -0.314961 0.629921
0.058586 -0.095322 0.001495 -0.314961 0.629921
0.062794 -0.096281 0.001592 -0.314961 0.629921
0.066795 -0.096991 0.001688 -0.314961 0.629921
0.070999 -0.100150 0.001785 -0.314961 0.629921
0.075197 -0.104233 0.001881 -0.314961 0.629921
0.079189 -0.105489 0.001978 -0.314961 0.629921
0.083226 -0.105388 0.002074 -0.314961 0.629921
0.087625 -0.108843 0.002170 -0.314961 0.629921
0.091769 -0.113934 0.002267 -0.314961 0.629921
0.096029 -0.114630 0.002363 -0.314961 0.629921
0.099896 -0.116007 0.002460 -0.314961 0.629921
0.103721 -0.121412 0.002556 -0.314961 0.629921
0.107629 -0.122419 0.002653 -0.314961 0.629921
0.111414 -0.127190 0.002749 -0.314961 0.629921
0.115226 -0.132473 0.002846 -0.314961 0.629921
0.119291 -0.136635 0.002942 -0.314961 0.629921
0.122308 -0.143312 0.003039 -0.314961 0.629921
0.000000 -nan 0.003135 -0.314961 0.629921
0.000000 -nan 0.003232 -0.314961 0.629921
0.000000 -nan 0.003328 -0.314961 0.629921
0.000000 -nan 0.003425 -0.314961 0.629921
0.000000 -nan 0.003521 -0.314961 0.629921
0.000000 -nan 0.003617 -0.314961 0.629921
0.000000 -nan 0.003714 -0.314961 0.629921
0.000000 -nan 0.003810 -0.314961 0.629921
0.000000 -nan 0.003907 -0.314961 0.629921
0.000000 -nan 0.004003 -0.314961 0.629921
0.000000 -nan 0.004100 -0.314961 0.629921
0.000000 -nan 0.004196 -0.314961 0.629921
0.000000 -nan 0.004293 -0.314961 0.629921
0.000000 -nan 0.004389 -0.314961 0.629921
0.000000 -nan 0.004486 -0.314961 0.629921
0.000000 -nan 0.004582 -0.314961 0.629921
0.000000 -nan 0.004679 -0.314961 0.629921
0.000000 -nan 0.004775 -0.314961 0.629921
0.000000 -nan 0.004872 -0.314961 0.629921
0.000000 -nan 0.004968 -0.314961 0.629921
0.000000 -nan 0.005064 -0.314961 0.629921
0.000000 -nan 0.005161 -0.314961 0.629921
0.000000 -nan 0.005257 -0.314961 0.629921
0.000000 -nan 0.005354 -0.314961 0.629921
0.000000 -nan 0.005450 -0.314961 0.629921
0.000000 -nan 0.005547 -0.314961 0.629921
0.000000 -nan 0.005643 -0.314961 0.629921
0.000000 -nan 0.005740 -0.314961 0.629921
0.000000 -nan 0.005836 -0.314961 0.629921
0.000000 -nan 0.005933 -0.314961 0.629921
0.000000 -nan 0.006029 -0.314961 0.629921
0.000000 -nan 0.006126 -0.314961 0.629921
0.000000 -nan 0.006222 -0.314961 0.629921
0.000000 -nan 0.006319 -0.314961 0.629921
0.000000 -nan 0.006415 -0.314961 0.629921
0.000000 -nan 0.006511 -0.314961 0.629921
0.000000 -nan 0.006608 -0.314961 0.629921
0.000000 -nan 0.006704 -0.314961 0.629921
0.000000 -nan 0.006801 -0.314961 0.629921
0.000000 -nan 0.006897 -0.314961 0.629921
0.000000 -nan 0.006994 -0.314961 0.629921
0.000000 -nan 0.007090 -0.314961 0.629921
0.000000 -nan 0.007187 -0.314961 0.629921
0.000000 -nan 0.007283 -0.314961 0.629921
0.000000 -nan 0.007380 -0.314961 0.629921
0.000000 -nan 0.007476 -0.314961 0.629921
0.000000 -nan 0.007573 -0.314961 0.629921
0.000000 -nan 0.007669 -0.314961 0.629921
0.000000 -nan 0.007765 -0.314961 0.629921
0.000000 -nan 0.007862 -0.314961 0.629921
0.000000 -nan 0.007958 -0.314961 0.629921
0.000000 -nan 0.008055 -0.314961 0.629921
