SoC E[V] Tiempo logChi logEle
0.003387 0.061883 0.000221 0.866142 -0.031496
0.006330 0.057955 0.000664 0.866142 -0.031496
0.010230 0.051810 0.001106 0.866142 -0.031496
0.014580 0.045851 0.001548 0.866142 -0.031496
0.019279 0.043303 0.001991 0.866142 -0.031496
0.024411 0.039576 0.002433 0.866142 -0.031496
0.028246 0.038393 0.002875 0.866142 -0.031496
0.031546 0.038016 0.003318 0.866142 -0.031496
0.035231 0.037436 0.003760 0.866142 -0.031496
0.038944 0.036315 0.004203 0.866142 -0.031496
0.042737 0.036603 0.004645 0.866142 -0.031496
0.047113 0.034327 0.005087 0.866142 -0.031496
0.051294 0.032326 0.005530 0.866142 -0.031496
0.055515 0.029891 0.005972 0.866142 -0.031496
0.059561 0.030346 0.006414 0.866142 -0.031496
0.063054 0.029550 0.006857 0.866142 -0.031496
0.067481 0.029231 0.007299 0.866142 -0.031496
0.072045 0.027263 0.007742 0.866142 -0.031496
0.076504 0.025739 0.008184 0.866142 -0.031496
0.080350 0.026068 0.008626 0.866142 -0.031496
0.083587 0.027391 0.009069 0.866142 -0.031496
0.086535 0.026549 0.009511 0.866142 -0.031496
0.090452 0.025010 0.009953 0.866142 -0.031496
0.095389 0.023661 0.010396 0.866142 -0.031496
0.099761 0.023318 0.010838 0.866142 -0.031496
0.103704 0.024951 0.011281 0.866142 -0.031496
0.107343 0.024950 0.011723 0.866142 -0.031496
0.111154 0.023986 0.012165 0.866142 -0.031496
0.115768 0.022712 0.012608 0.866142 -0.031496
0.120495 0.022119 0.013050 0.866142 -0.031496
0.124361 0.022582 0.013492 0.866142 -0.031496
0.127798 0.022182 0.013935 0.866142 -0.031496
0.130358 0.023204 0.014377 0.866142 -0.031496
0.133553 0.020947 0.014820 0.866142 -0.031496
0.137861 0.020729 0.015262 0.866142 -0.031496
0.142806 0.019353 0.015704 0.866142 -0.031496
0.146052 0.020395 0.016147 0.866142 -0.031496
0.149917 0.020214 0.016589 0.866142 -0.031496
0.154423 0.016843 0.017031 0.866142 -0.031496
0.158268 0.016246 0.017474 0.866142 -0.031496
0.161879 0.017048 0.017916 0.866142 -0.031496
0.165147 0.016583 0.018359 0.866142 -0.031496
0.168947 0.018094 0.018801 0.866142 -0.031496
0.173467 0.016269 0.019243 0.866142 -0.031496
0.177475 0.016662 0.019686 0.866142 -0.031496
0.181842 0.015587 0.020128 0.866142 -0.031496
0.185627 0.014713 0.020570 0.866142 -0.031496
0.188897 0.014268 0.021013 0.866142 -0.031496
0.192631 0.014000 0.021455 0.866142 -0.031496
0.196660 0.013762 0.021898 0.866142 -0.031496
0.200719 0.013923 0.022340 0.866142 -0.031496
0.204469 0.013200 0.022782 0.866142 -0.031496
0.209061 0.012260 0.023225 0.866142 -0.031496
0.213674 0.012013 0.023667 0.866142 -0.031496
0.217928 0.010772 0.024109 0.866142 -0.031496
0.222198 0.011165 0.024552 0.866142 -0.031496
0.226548 0.012132 0.024994 0.866142 -0.031496
0.230577 0.011533 0.025437 0.866142 -0.031496
0.235631 0.010616 0.025879 0.866142 -0.031496
0.239738 0.009842 0.026321 0.866142 -0.031496
0.243471 0.009808 0.026764 0.866142 -0.031496
0.247129 0.010030 0.027206 0.866142 -0.031496
0.250475 0.009997 0.027648 0.866142 -0.031496
0.253994 0.010803 0.028091 0.866142 -0.031496
0.256924 0.008875 0.028533 0.866142 -0.031496
0.260930 0.007740 0.028976 0.866142 -0.031496
0.264976 0.008084 0.029418 0.866142 -0.031496
0.269426 0.006818 0.029860 0.866142 -0.031496
0.273491 0.006707 0.030303 0.866142 -0.031496
0.277988 0.005821 0.030745 0.866142 -0.031496
0.281626 0.007530 0.031187 0.866142 -0.031496
0.284774 0.007925 0.031630 0.866142 -0.031496
0.289178 0.007499 0.032072 0.866142 -0.031496
0.292346 0.007102 0.032515 0.866142 -0.031496
0.295487 0.005675 0.032957 0.866142 -0.031496
0.300043 0.003734 0.033399 0.866142 -0.031496
0.303548 0.006495 0.033842 0.866142 -0.031496
0.307016 0.005032 0.034284 0.866142 -0.031496
0.310686 0.004945 0.034726 0.866142 -0.031496
0.314238 0.004359 0.035169 0.866142 -0.031496
0.318977 0.002901 0.035611 0.866142 -0.031496
0.323114 0.003315 0.036054 0.866142 -0.031496
0.327795 0.000017 0.036496 0.866142 -0.031496
0.332470 -0.001360 0.036938 0.866142 -0.031496
0.336855 -0.002771 0.037381 0.866142 -0.031496
0.342105 -0.004018 0.037823 0.866142 -0.031496
0.346361 -0.004253 0.038265 0.866142 -0.031496
0.350420 -0.001226 0.038708 0.866142 -0.031496
0.354806 -0.002885 0.039150 0.866142 -0.031496
0.358410 -0.002087 0.039593 0.866142 -0.031496
0.362391 -0.001814 0.040035 0.866142 -0.031496
0.366558 -0.004015 0.040477 0.866142 -0.031496
0.370775 -0.001974 0.040920 0.866142 -0.031496
0.374064 -0.003666 0.041362 0.866142 -0.031496
0.378372 -0.004984 0.041804 0.866142 -0.031496
0.382905 -0.006470 0.042247 0.866142 -0.031496
0.386879 -0.006518 0.042689 0.866142 -0.031496
0.391626 -0.007640 0.043132 0.866142 -0.031496
0.395148 -0.006521 0.043574 0.866142 -0.031496
0.398813 -0.008116 0.044016 0.866142 -0.031496
0.402626 -0.007969 0.044459 0.866142 -0.031496
0.407231 -0.011058 0.044901 0.866142 -0.031496
0.412049 -0.013160 0.045343 0.866142 -0.031496
0.416592 -0.014712 0.045786 0.866142 -0.031496
0.420752 -0.014335 0.046228 0.866142 -0.031496
0.423724 -0.011737 0.046671 0.866142 -0.031496
0.427114 -0.010839 0.047113 0.866142 -0.031496
0.430477 -0.009676 0.047555 0.866142 -0.031496
0.434988 -0.013006 0.047998 0.866142 -0.031496
0.438800 -0.015662 0.048440 0.866142 -0.031496
0.443800 -0.018754 0.048882 0.866142 -0.031496
0.448033 -0.018968 0.049325 0.866142 -0.031496
0.453227 -0.022178 0.049767 0.866142 -0.031496
0.457464 -0.022669 0.050210 0.866142 -0.031496
0.461678 -0.023691 0.050652 0.866142 -0.031496
0.465434 -0.020603 0.051094 0.866142 -0.031496
0.468969 -0.020097 0.051537 0.866142 -0.031496
0.472458 -0.020319 0.051979 0.866142 -0.031496
0.476440 -0.023023 0.052421 0.866142 -0.031496
0.479751 -0.023636 0.052864 0.866142 -0.031496
0.483748 -0.025286 0.053306 0.866142 -0.031496
0.487998 -0.026935 0.053749 0.866142 -0.031496
0.491684 -0.026810 0.054191 0.866142 -0.031496
0.496055 -0.033353 0.054633 0.866142 -0.031496
0.500463 -0.034251 0.055076 0.866142 -0.031496
0.504202 -0.029169 0.055518 0.866142 -0.031496
0.508684 -0.034237 0.055960 0.866142 -0.031496
0.513204 -0.037295 0.056403 0.866142 -0.031496
0.516657 -0.037323 0.056845 0.866142 -0.031496
0.520738 -0.045001 0.057288 0.866142 -0.031496
0.525395 -0.050999 0.057730 0.866142 -0.031496
0.529619 -0.046101 0.058172 0.866142 -0.031496
0.533691 -0.050920 0.058615 0.866142 -0.031496
0.538163 -0.056217 0.059057 0.866142 -0.031496
0.542278 -0.055925 0.059499 0.866142 -0.031496
0.546325 -0.050181 0.059942 0.866142 -0.031496
0.550534 -0.062234 0.060384 0.866142 -0.031496
0.553922 -0.056569 0.060827 0.866142 -0.031496
0.557886 -0.056096 0.061269 0.866142 -0.031496
0.561941 -0.069268 0.061711 0.866142 -0.031496
0.565926 -0.081684 0.062154 0.866142 -0.031496
0.570177 -0.088031 0.062596 0.866142 -0.031496
0.573232 -0.101673 0.063038 0.866142 -0.031496
0.000000 -nan 0.063481 0.866142 -0.031496
0.000000 -nan 0.063923 0.866142 -0.031496
0.000000 -nan 0.064366 0.866142 -0.031496
0.000000 -nan 0.064808 0.866142 -0.031496
0.000000 -nan 0.065250 0.866142 -0.031496
0.000000 -nan 0.065693 0.866142 -0.031496
0.000000 -nan 0.066135 0.866142 -0.031496
0.000000 -nan 0.066577 0.866142 -0.031496
0.000000 -nan 0.067020 0.866142 -0.031496
0.000000 -nan 0.067462 0.866142 -0.031496
0.000000 -nan 0.067905 0.866142 -0.031496
0.000000 -nan 0.068347 0.866142 -0.031496
0.000000 -nan 0.068789 0.866142 -0.031496
0.000000 -nan 0.069232 0.866142 -0.031496
