SoC E[V] Tiempo logChi logEle
0.002961 0.008802 0.001381 -0.267717 -0.692913
0.006843 0.008601 0.004142 -0.267717 -0.692913
0.010867 0.008397 0.006903 -0.267717 -0.692913
0.015041 0.008404 0.009664 -0.267717 -0.692913
0.018669 0.008363 0.012426 -0.267717 -0.692913
0.022326 0.008267 0.015187 -0.267717 -0.692913
0.026155 0.008205 0.017948 -0.267717 -0.692913
0.030273 0.008107 0.020709 -0.267717 -0.692913
0.034212 0.008064 0.023470 -0.267717 -0.692913
0.038087 0.008075 0.026232 -0.267717 -0.692913
0.042202 0.007997 0.028993 -0.267717 -0.692913
0.046174 0.007930 0.031754 -0.267717 -0.692913
0.050122 0.008028 0.034515 -0.267717 -0.692913
0.053929 0.007977 0.037277 -0.267717 -0.692913
0.057959 0.007883 0.040038 -0.267717 -0.692913
0.062043 0.007923 0.042799 -0.267717 -0.692913
0.065902 0.007838 0.045560 -0.267717 -0.692913
0.069882 0.007813 0.048321 -0.267717 -0.692913
0.074203 0.007832 0.051083 -0.267717 -0.692913
0.078362 0.007915 0.053844 -0.267717 -0.692913
0.082321 0.007810 0.056605 -0.267717 -0.692913
0.086366 0.007746 0.059366 -0.267717 -0.692913
0.090558 0.007782 0.062128 -0.267717 -0.692913
0.094613 0.007876 0.064889 -0.267717 -0.692913
0.098524 0.007688 0.067650 -0.267717 -0.692913
0.102760 0.007747 0.070411 -0.267717 -0.692913
0.106457 0.007707 0.073172 -0.267717 -0.692913
0.109984 0.007756 0.075934 -0.267717 -0.692913
0.114312 0.007730 0.078695 -0.267717 -0.692913
0.118505 0.007710 0.081456 -0.267717 -0.692913
0.122379 0.007563 0.084217 -0.267717 -0.692913
0.126314 0.007731 0.086979 -0.267717 -0.692913
0.130522 0.007734 0.089740 -0.267717 -0.692913
0.134579 0.007717 0.092501 -0.267717 -0.692913
0.138722 0.007824 0.095262 -0.267717 -0.692913
0.142668 0.007749 0.098023 -0.267717 -0.692913
0.146585 0.007594 0.100785 -0.267717 -0.692913
0.150668 0.007674 0.103546 -0.267717 -0.692913
0.154453 0.007606 0.106307 -0.267717 -0.692913
0.158621 0.007597 0.109068 -0.267717 -0.692913
0.162434 0.007841 0.111830 -0.267717 -0.692913
0.166394 0.007640 0.114591 -0.267717 -0.692913
0.170368 0.007547 0.117352 -0.267717 -0.692913
0.174540 0.007586 0.120113 -0.267717 -0.692913
0.179139 0.007545 0.122874 -0.267717 -0.692913
0.183080 0.007614 0.125636 -0.267717 -0.692913
0.186566 0.007671 0.128397 -0.267717 -0.692913
0.190622 0.007623 0.131158 -0.267717 -0.692913
0.195053 0.007772 0.133919 -0.267717 -0.692913
0.198771 0.007597 0.136681 -0.267717 -0.692913
0.202656 0.007521 0.139442 -0.267717 -0.692913
0.206798 0.007430 0.142203 -0.267717 -0.692913
0.210754 0.007628 0.144964 -0.267717 -0.692913
0.214882 0.007473 0.147725 -0.267717 -0.692913
0.219216 0.007523 0.150487 -0.267717 -0.692913
0.223115 0.007494 0.153248 -0.267717 -0.692913
0.227254 0.007511 0.156009 -0.267717 -0.692913
0.231292 0.007697 0.158770 -0.267717 -0.692913
0.235286 0.007421 0.161532 -0.267717 -0.692913
0.239237 0.007338 0.164293 -0.267717 -0.692913
0.243223 0.007371 0.167054 -0.267717 -0.692913
0.247091 0.007601 0.169815 -0.267717 -0.692913
0.250823 0.007524 0.172576 -0.267717 -0.692913
0.254461 0.007502 0.175338 -0.267717 -0.692913
0.258206 0.007328 0.178099 -0.267717 -0.692913
0.261675 0.007291 0.180860 -0.267717 -0.692913
0.265565 0.007260 0.183621 -0.267717 -0.692913
0.269465 0.007560 0.186383 -0.267717 -0.692913
0.273242 0.007373 0.189144 -0.267717 -0.692913
0.277377 0.007384 0.191905 -0.267717 -0.692913
0.281350 0.007464 0.194666 -0.267717 -0.692913
0.285128 0.007261 0.197427 -0.267717 -0.692913
0.288720 0.007186 0.200189 -0.267717 -0.692913
0.292434 0.007186 0.202950 -0.267717 -0.692913
0.295767 0.007001 0.205711 -0.267717 -0.692913
0.299530 0.006816 0.208472 -0.267717 -0.692913
0.303503 0.006860 0.211234 -0.267717 -0.692913
0.307659 0.007003 0.213995 -0.267717 -0.692913
0.312043 0.006621 0.216756 -0.267717 -0.692913
0.316073 0.007015 0.219517 -0.267717 -0.692913
0.320197 0.007097 0.222278 -0.267717 -0.692913
0.324143 0.007107 0.225040 -0.267717 -0.692913
0.328232 0.006744 0.227801 -0.267717 -0.692913
0.332284 0.006224 0.230562 -0.267717 -0.692913
0.336360 0.005855 0.233323 -0.267717 -0.692913
0.340511 0.006602 0.236085 -0.267717 -0.692913
0.344374 0.006381 0.238846 -0.267717 -0.692913
0.347853 0.006666 0.241607 -0.267717 -0.692913
0.351826 0.006565 0.244368 -0.267717 -0.692913
0.355484 0.006459 0.247129 -0.267717 -0.692913
0.359560 0.006479 0.249891 -0.267717 -0.692913
0.363629 0.006939 0.252652 -0.267717 -0.692913
0.367303 0.006629 0.255413 -0.267717 -0.692913
0.371028 0.006211 0.258174 -0.267717 -0.692913
0.375088 0.006501 0.260936 -0.267717 -0.692913
0.379452 0.006051 0.263697 -0.267717 -0.692913
0.383664 0.005757 0.266458 -0.267717 -0.692913
0.388308 0.005511 0.269219 -0.267717 -0.692913
0.392299 0.005982 0.271980 -0.267717 -0.692913
0.396526 0.006103 0.274742 -0.267717 -0.692913
0.400699 0.005675 0.277503 -0.267717 -0.692913
0.404964 0.005279 0.280264 -0.267717 -0.692913
0.409040 0.005619 0.283025 -0.267717 -0.692913
0.412888 0.005623 0.285787 -0.267717 -0.692913
0.416827 0.005452 0.288548 -0.267717 -0.692913
0.420856 0.005874 0.291309 -0.267717 -0.692913
0.425214 0.004872 0.294070 -0.267717 -0.692913
0.429244 0.005458 0.296831 -0.267717 -0.692913
0.433065 0.004833 0.299593 -0.267717 -0.692913
0.437384 0.004513 0.302354 -0.267717 -0.692913
0.441343 0.004424 0.305115 -0.267717 -0.692913
0.445280 0.004950 0.307876 -0.267717 -0.692913
0.448766 0.003656 0.310638 -0.267717 -0.692913
0.452545 0.004862 0.313399 -0.267717 -0.692913
0.456607 0.004634 0.316160 -0.267717 -0.692913
0.460772 0.004156 0.318921 -0.267717 -0.692913
0.464574 0.004534 0.321682 -0.267717 -0.692913
0.468788 0.004067 0.324444 -0.267717 -0.692913
0.472891 0.003098 0.327205 -0.267717 -0.692913
0.477265 0.003328 0.329966 -0.267717 -0.692913
0.481058 0.004211 0.332727 -0.267717 -0.692913
0.485089 0.003402 0.335489 -0.267717 -0.692913
0.489394 0.003974 0.338250 -0.267717 -0.692913
0.493377 0.002809 0.341011 -0.267717 -0.692913
0.497056 0.002501 0.343772 -0.267717 -0.692913
0.500567 0.002057 0.346533 -0.267717 -0.692913
0.504120 0.003430 0.349295 -0.267717 -0.692913
0.507985 0.001469 0.352056 -0.267717 -0.692913
0.512185 0.002077 0.354817 -0.267717 -0.692913
0.516156 0.001281 0.357578 -0.267717 -0.692913
0.520183 0.001236 0.360340 -0.267717 -0.692913
0.524147 0.001186 0.363101 -0.267717 -0.692913
0.528230 0.002246 0.365862 -0.267717 -0.692913
0.532133 0.001805 0.368623 -0.267717 -0.692913
0.535855 0.002132 0.371384 -0.267717 -0.692913
0.539456 0.001604 0.374146 -0.267717 -0.692913
0.543475 0.001261 0.376907 -0.267717 -0.692913
0.547594 0.001269 0.379668 -0.267717 -0.692913
0.551542 0.000951 0.382429 -0.267717 -0.692913
0.555456 -0.000027 0.385191 -0.267717 -0.692913
0.559539 -0.000523 0.387952 -0.267717 -0.692913
0.563375 0.000506 0.390713 -0.267717 -0.692913
0.567419 0.000680 0.393474 -0.267717 -0.692913
0.571442 0.000308 0.396235 -0.267717 -0.692913
0.575628 -0.000122 0.398997 -0.267717 -0.692913
0.579914 -0.000076 0.401758 -0.267717 -0.692913
0.584316 -0.000745 0.404519 -0.267717 -0.692913
0.588456 -0.000854 0.407280 -0.267717 -0.692913
0.592401 -0.000984 0.410042 -0.267717 -0.692913
0.595844 0.000677 0.412803 -0.267717 -0.692913
0.599469 -0.001861 0.415564 -0.267717 -0.692913
0.603609 -0.003186 0.418325 -0.267717 -0.692913
0.607321 -0.001409 0.421086 -0.267717 -0.692913
0.611136 -0.001715 0.423848 -0.267717 -0.692913
0.614629 -0.002029 0.426609 -0.267717 -0.692913
0.618473 -0.002791 0.429370 -0.267717 -0.692913
0.622061 -0.002040 0.432131 -0.267717 -0.692913
0.625458 -0.002901 0.434893 -0.267717 -0.692913
0.629082 -0.002474 0.437654 -0.267717 -0.692913
0.633410 -0.004185 0.440415 -0.267717 -0.692913
0.637570 -0.003571 0.443176 -0.267717 -0.692913
0.641799 -0.004466 0.445937 -0.267717 -0.692913
0.645732 -0.006206 0.448699 -0.267717 -0.692913
0.650094 -0.005475 0.451460 -0.267717 -0.692913
0.654162 -0.006503 0.454221 -0.267717 -0.692913
0.658130 -0.005721 0.456982 -0.267717 -0.692913
0.662348 -0.007267 0.459744 -0.267717 -0.692913
0.665910 -0.008050 0.462505 -0.267717 -0.692913
0.669681 -0.007030 0.465266 -0.267717 -0.692913
0.673692 -0.007418 0.468027 -0.267717 -0.692913
0.677677 -0.007024 0.470788 -0.267717 -0.692913
0.681837 -0.009659 0.473550 -0.267717 -0.692913
0.686026 -0.010291 0.476311 -0.267717 -0.692913
0.690596 -0.013482 0.479072 -0.267717 -0.692913
0.694777 -0.011667 0.481833 -0.267717 -0.692913
0.698489 -0.010712 0.484595 -0.267717 -0.692913
0.702172 -0.009537 0.487356 -0.267717 -0.692913
0.706262 -0.010549 0.490117 -0.267717 -0.692913
0.710438 -0.012747 0.492878 -0.267717 -0.692913
0.714331 -0.011332 0.495639 -0.267717 -0.692913
0.718016 -0.013968 0.498401 -0.267717 -0.692913
0.721720 -0.013324 0.501162 -0.267717 -0.692913
0.725610 -0.015249 0.503923 -0.267717 -0.692913
0.729650 -0.012776 0.506684 -0.267717 -0.692913
0.733626 -0.012524 0.509446 -0.267717 -0.692913
0.737639 -0.015497 0.512207 -0.267717 -0.692913
0.741835 -0.015188 0.514968 -0.267717 -0.692913
0.745798 -0.016726 0.517729 -0.267717 -0.692913
0.749780 -0.017765 0.520490 -0.267717 -0.692913
0.753816 -0.017223 0.523252 -0.267717 -0.692913
0.757874 -0.019755 0.526013 -0.267717 -0.692913
0.761675 -0.016789 0.528774 -0.267717 -0.692913
0.765334 -0.018424 0.531535 -0.267717 -0.692913
0.769140 -0.019753 0.534297 -0.267717 -0.692913
0.773238 -0.021044 0.537058 -0.267717 -0.692913
0.776936 -0.018835 0.539819 -0.267717 -0.692913
0.781287 -0.020543 0.542580 -0.267717 -0.692913
0.784990 -0.020142 0.545341 -0.267717 -0.692913
0.788815 -0.023982 0.548103 -0.267717 -0.692913
0.792619 -0.024584 0.550864 -0.267717 -0.692913
0.796611 -0.026164 0.553625 -0.267717 -0.692913
0.800687 -0.031569 0.556386 -0.267717 -0.692913
0.804223 -0.027183 0.559148 -0.267717 -0.692913
0.807985 -0.028206 0.561909 -0.267717 -0.692913
0.812002 -0.029713 0.564670 -0.267717 -0.692913
0.815853 -0.028060 0.567431 -0.267717 -0.692913
0.819713 -0.026935 0.570192 -0.267717 -0.692913
0.823692 -0.032350 0.572954 -0.267717 -0.692913
0.827089 -0.030906 0.575715 -0.267717 -0.692913
0.831132 -0.034227 0.578476 -0.267717 -0.692913
0.835219 -0.036124 0.581237 -0.267717 -0.692913
0.839432 -0.038874 0.583999 -0.267717 -0.692913
0.843637 -0.041923 0.586760 -0.267717 -0.692913
0.847890 -0.042311 0.589521 -0.267717 -0.692913
0.851867 -0.044524 0.592282 -0.267717 -0.692913
0.855803 -0.048620 0.595043 -0.267717 -0.692913
0.859813 -0.048090 0.597805 -0.267717 -0.692913
0.863790 -0.050953 0.600566 -0.267717 -0.692913
0.867449 -0.050819 0.603327 -0.267717 -0.692913
0.871314 -0.053747 0.606088 -0.267717 -0.692913
0.875335 -0.059921 0.608850 -0.267717 -0.692913
0.879119 -0.061853 0.611611 -0.267717 -0.692913
0.883117 -0.062308 0.614372 -0.267717 -0.692913
0.887215 -0.069282 0.617133 -0.267717 -0.692913
0.891000 -0.079516 0.619894 -0.267717 -0.692913
0.894859 -0.080262 0.622656 -0.267717 -0.692913
0.898806 -0.080232 0.625417 -0.267717 -0.692913
0.902828 -0.090440 0.628178 -0.267717 -0.692913
0.906610 -0.089969 0.630939 -0.267717 -0.692913
0.910234 -0.089572 0.633701 -0.267717 -0.692913
0.913463 -0.104202 0.636462 -0.267717 -0.692913
0.000000 -nan 0.639223 -0.267717 -0.692913
0.000000 -nan 0.641984 -0.267717 -0.692913
0.000000 -nan 0.644745 -0.267717 -0.692913
0.000000 -nan 0.647507 -0.267717 -0.692913
0.000000 -nan 0.650268 -0.267717 -0.692913
0.000000 -nan 0.653029 -0.267717 -0.692913
