SoC E[V] Tiempo logChi logEle
0.001221 -0.062168 0.000082 -0.267717 0.535433
0.004208 -0.060328 0.000245 -0.267717 0.535433
0.008066 -0.059474 0.000408 -0.267717 0.535433
0.012504 -0.058302 0.000571 -0.267717 0.535433
0.016770 -0.057953 0.000734 -0.267717 0.535433
0.020625 -0.057494 0.000898 -0.267717 0.535433
0.024499 -0.057633 0.001061 -0.267717 0.535433
0.028423 -0.057389 0.001224 -0.267717 0.535433
0.032299 -0.057631 0.001387 -0.267717 0.535433
0.036322 -0.057589 0.001551 -0.267717 0.535433
0.039810 -0.056825 0.001714 -0.267717 0.535433
0.043457 -0.058038 0.001877 -0.267717 0.535433
0.047223 -0.058809 0.002040 -0.267717 0.535433
0.051168 -0.060721 0.002203 -0.267717 0.535433
0.055251 -0.062723 0.002367 -0.267717 0.535433
0.059073 -0.063123 0.002530 -0.267717 0.535433
0.063061 -0.064642 0.002693 -0.267717 0.535433
0.067139 -0.069876 0.002856 -0.267717 0.535433
0.070968 -0.073871 0.003019 -0.267717 0.535433
0.075058 -0.073042 0.003183 -0.267717 0.535433
0.079063 -0.075439 0.003346 -0.267717 0.535433
0.082872 -0.078699 0.003509 -0.267717 0.535433
0.086650 -0.079554 0.003672 -0.267717 0.535433
0.090704 -0.086741 0.003836 -0.267717 0.535433
0.094942 -0.090878 0.003999 -0.267717 0.535433
0.098776 -0.097123 0.004162 -0.267717 0.535433
0.102667 -0.104621 0.004325 -0.267717 0.535433
0.106486 -0.117552 0.004488 -0.267717 0.535433
0.110462 -0.127590 0.004652 -0.267717 0.535433
0.113235 -0.133887 0.004815 -0.267717 0.535433
0.000000 -nan 0.004978 -0.267717 0.535433
0.000000 -nan 0.005141 -0.267717 0.535433
0.000000 -nan 0.005304 -0.267717 0.535433
0.000000 -nan 0.005468 -0.267717 0.535433
0.000000 -nan 0.005631 -0.267717 0.535433
0.000000 -nan 0.005794 -0.267717 0.535433
0.000000 -nan 0.005957 -0.267717 0.535433
0.000000 -nan 0.006120 -0.267717 0.535433
0.000000 -nan 0.006284 -0.267717 0.535433
0.000000 -nan 0.006447 -0.267717 0.535433
0.000000 -nan 0.006610 -0.267717 0.535433
0.000000 -nan 0.006773 -0.267717 0.535433
0.000000 -nan 0.006937 -0.267717 0.535433
0.000000 -nan 0.007100 -0.267717 0.535433
0.000000 -nan 0.007263 -0.267717 0.535433
0.000000 -nan 0.007426 -0.267717 0.535433
0.000000 -nan 0.007589 -0.267717 0.535433
0.000000 -nan 0.007753 -0.267717 0.535433
0.000000 -nan 0.007916 -0.267717 0.535433
0.000000 -nan 0.008079 -0.267717 0.535433
0.000000 -nan 0.008242 -0.267717 0.535433
0.000000 -nan 0.008405 -0.267717 0.535433
0.000000 -nan 0.008569 -0.267717 0.535433
0.000000 -nan 0.008732 -0.267717 0.535433
0.000000 -nan 0.008895 -0.267717 0.535433
0.000000 -nan 0.009058 -0.267717 0.535433
0.000000 -nan 0.009222 -0.267717 0.535433
0.000000 -nan 0.009385 -0.267717 0.535433
0.000000 -nan 0.009548 -0.267717 0.535433
