SoC E[V] Tiempo logChi logEle
0.000016 -0.172268 0.000336 -1.496063 -0.078740
0.000000 -nan 0.001007 -1.496063 -0.078740
0.000000 -nan 0.001678 -1.496063 -0.078740
0.000000 -nan 0.002350 -1.496063 -0.078740
0.000000 -nan 0.003021 -1.496063 -0.078740
0.000000 -nan 0.003692 -1.496063 -0.078740
0.000000 -nan 0.004364 -1.496063 -0.078740
0.000000 -nan 0.005035 -1.496063 -0.078740
0.000000 -nan 0.005706 -1.496063 -0.078740
0.000000 -nan 0.006378 -1.496063 -0.078740
0.000000 -nan 0.007049 -1.496063 -0.078740
0.000000 -nan 0.007720 -1.496063 -0.078740
0.000000 -nan 0.008391 -1.496063 -0.078740
0.000000 -nan 0.009063 -1.496063 -0.078740
0.000000 -nan 0.009734 -1.496063 -0.078740
0.000000 -nan 0.010405 -1.496063 -0.078740
0.000000 -nan 0.011077 -1.496063 -0.078740
0.000000 -nan 0.011748 -1.496063 -0.078740
0.000000 -nan 0.012419 -1.496063 -0.078740
0.000000 -nan 0.013091 -1.496063 -0.078740
0.000000 -nan 0.013762 -1.496063 -0.078740
0.000000 -nan 0.014433 -1.496063 -0.078740
0.000000 -nan 0.015105 -1.496063 -0.078740
0.000000 -nan 0.015776 -1.496063 -0.078740
0.000000 -nan 0.016447 -1.496063 -0.078740
0.000000 -nan 0.017119 -1.496063 -0.078740
0.000000 -nan 0.017790 -1.496063 -0.078740
0.000000 -nan 0.018461 -1.496063 -0.078740
0.000000 -nan 0.019133 -1.496063 -0.078740
0.000000 -nan 0.019804 -1.496063 -0.078740
0.000000 -nan 0.020475 -1.496063 -0.078740
0.000000 -nan 0.021147 -1.496063 -0.078740
0.000000 -nan 0.021818 -1.496063 -0.078740
0.000000 -nan 0.022489 -1.496063 -0.078740
0.000000 -nan 0.023160 -1.496063 -0.078740
0.000000 -nan 0.023832 -1.496063 -0.078740
0.000000 -nan 0.024503 -1.496063 -0.078740
0.000000 -nan 0.025174 -1.496063 -0.078740
0.000000 -nan 0.025846 -1.496063 -0.078740
0.000000 -nan 0.026517 -1.496063 -0.078740
0.000000 -nan 0.027188 -1.496063 -0.078740
0.000000 -nan 0.027860 -1.496063 -0.078740
0.000000 -nan 0.028531 -1.496063 -0.078740
0.000000 -nan 0.029202 -1.496063 -0.078740
0.000000 -nan 0.029874 -1.496063 -0.078740
0.000000 -nan 0.030545 -1.496063 -0.078740
0.000000 -nan 0.031216 -1.496063 -0.078740
0.000000 -nan 0.031888 -1.496063 -0.078740
0.000000 -nan 0.032559 -1.496063 -0.078740
0.000000 -nan 0.033230 -1.496063 -0.078740
0.000000 -nan 0.033902 -1.496063 -0.078740
0.000000 -nan 0.034573 -1.496063 -0.078740
0.000000 -nan 0.035244 -1.496063 -0.078740
0.000000 -nan 0.035916 -1.496063 -0.078740
0.000000 -nan 0.036587 -1.496063 -0.078740
0.000000 -nan 0.037258 -1.496063 -0.078740
0.000000 -nan 0.037929 -1.496063 -0.078740
0.000000 -nan 0.038601 -1.496063 -0.078740
0.000000 -nan 0.039272 -1.496063 -0.078740
0.000000 -nan 0.039943 -1.496063 -0.078740
0.000000 -nan 0.040615 -1.496063 -0.078740
0.000000 -nan 0.041286 -1.496063 -0.078740
0.000000 -nan 0.041957 -1.496063 -0.078740
0.000000 -nan 0.042629 -1.496063 -0.078740
0.000000 -nan 0.043300 -1.496063 -0.078740
0.000000 -nan 0.043971 -1.496063 -0.078740
0.000000 -nan 0.044643 -1.496063 -0.078740
0.000000 -nan 0.045314 -1.496063 -0.078740
0.000000 -nan 0.045985 -1.496063 -0.078740
0.000000 -nan 0.046657 -1.496063 -0.078740
0.000000 -nan 0.047328 -1.496063 -0.078740
0.000000 -nan 0.047999 -1.496063 -0.078740
0.000000 -nan 0.048671 -1.496063 -0.078740
0.000000 -nan 0.049342 -1.496063 -0.078740
0.000000 -nan 0.050013 -1.496063 -0.078740
0.000000 -nan 0.050684 -1.496063 -0.078740
0.000000 -nan 0.051356 -1.496063 -0.078740
0.000000 -nan 0.052027 -1.496063 -0.078740
0.000000 -nan 0.052698 -1.496063 -0.078740
0.000000 -nan 0.053370 -1.496063 -0.078740
0.000000 -nan 0.054041 -1.496063 -0.078740
0.000000 -nan 0.054712 -1.496063 -0.078740
0.000000 -nan 0.055384 -1.496063 -0.078740
0.000000 -nan 0.056055 -1.496063 -0.078740
0.000000 -nan 0.056726 -1.496063 -0.078740
0.000000 -nan 0.057398 -1.496063 -0.078740
0.000000 -nan 0.058069 -1.496063 -0.078740
0.000000 -nan 0.058740 -1.496063 -0.078740
0.000000 -nan 0.059412 -1.496063 -0.078740
0.000000 -nan 0.060083 -1.496063 -0.078740
0.000000 -nan 0.060754 -1.496063 -0.078740
0.000000 -nan 0.061426 -1.496063 -0.078740
0.000000 -nan 0.062097 -1.496063 -0.078740
0.000000 -nan 0.062768 -1.496063 -0.078740
0.000000 -nan 0.063440 -1.496063 -0.078740
0.000000 -nan 0.064111 -1.496063 -0.078740
0.000000 -nan 0.064782 -1.496063 -0.078740
0.000000 -nan 0.065453 -1.496063 -0.078740
0.000000 -nan 0.066125 -1.496063 -0.078740
0.000000 -nan 0.066796 -1.496063 -0.078740
0.000000 -nan 0.067467 -1.496063 -0.078740
0.000000 -nan 0.068139 -1.496063 -0.078740
0.000000 -nan 0.068810 -1.496063 -0.078740
0.000000 -nan 0.069481 -1.496063 -0.078740
0.000000 -nan 0.070153 -1.496063 -0.078740
0.000000 -nan 0.070824 -1.496063 -0.078740
0.000000 -nan 0.071495 -1.496063 -0.078740
0.000000 -nan 0.072167 -1.496063 -0.078740
0.000000 -nan 0.072838 -1.496063 -0.078740
0.000000 -nan 0.073509 -1.496063 -0.078740
0.000000 -nan 0.074181 -1.496063 -0.078740
0.000000 -nan 0.074852 -1.496063 -0.078740
0.000000 -nan 0.075523 -1.496063 -0.078740
0.000000 -nan 0.076195 -1.496063 -0.078740
0.000000 -nan 0.076866 -1.496063 -0.078740
0.000000 -nan 0.077537 -1.496063 -0.078740
0.000000 -nan 0.078209 -1.496063 -0.078740
0.000000 -nan 0.078880 -1.496063 -0.078740
0.000000 -nan 0.079551 -1.496063 -0.078740
0.000000 -nan 0.080222 -1.496063 -0.078740
0.000000 -nan 0.080894 -1.496063 -0.078740
0.000000 -nan 0.081565 -1.496063 -0.078740
0.000000 -nan 0.082236 -1.496063 -0.078740
0.000000 -nan 0.082908 -1.496063 -0.078740
0.000000 -nan 0.083579 -1.496063 -0.078740
0.000000 -nan 0.084250 -1.496063 -0.078740
0.000000 -nan 0.084922 -1.496063 -0.078740
0.000000 -nan 0.085593 -1.496063 -0.078740
0.000000 -nan 0.086264 -1.496063 -0.078740
0.000000 -nan 0.086936 -1.496063 -0.078740
0.000000 -nan 0.087607 -1.496063 -0.078740
0.000000 -nan 0.088278 -1.496063 -0.078740
0.000000 -nan 0.088950 -1.496063 -0.078740
0.000000 -nan 0.089621 -1.496063 -0.078740
0.000000 -nan 0.090292 -1.496063 -0.078740
0.000000 -nan 0.090964 -1.496063 -0.078740
0.000000 -nan 0.091635 -1.496063 -0.078740
0.000000 -nan 0.092306 -1.496063 -0.078740
0.000000 -nan 0.092978 -1.496063 -0.078740
0.000000 -nan 0.093649 -1.496063 -0.078740
0.000000 -nan 0.094320 -1.496063 -0.078740
0.000000 -nan 0.094991 -1.496063 -0.078740
0.000000 -nan 0.095663 -1.496063 -0.078740
0.000000 -nan 0.096334 -1.496063 -0.078740
0.000000 -nan 0.097005 -1.496063 -0.078740
0.000000 -nan 0.097677 -1.496063 -0.078740
0.000000 -nan 0.098348 -1.496063 -0.078740
0.000000 -nan 0.099019 -1.496063 -0.078740
0.000000 -nan 0.099691 -1.496063 -0.078740
0.000000 -nan 0.100362 -1.496063 -0.078740
0.000000 -nan 0.101033 -1.496063 -0.078740
0.000000 -nan 0.101705 -1.496063 -0.078740
0.000000 -nan 0.102376 -1.496063 -0.078740
0.000000 -nan 0.103047 -1.496063 -0.078740
