SoC E[V] Tiempo logChi logEle
0.003215 0.037239 0.000336 0.346457 -0.078740
0.006841 0.035300 0.001007 0.346457 -0.078740
0.010613 0.033689 0.001678 0.346457 -0.078740
0.014751 0.032524 0.002350 0.346457 -0.078740
0.019045 0.031613 0.003021 0.346457 -0.078740
0.023431 0.030944 0.003692 0.346457 -0.078740
0.027961 0.030602 0.004364 0.346457 -0.078740
0.031800 0.029983 0.005035 0.346457 -0.078740
0.035598 0.029919 0.005706 0.346457 -0.078740
0.039303 0.029951 0.006378 0.346457 -0.078740
0.043092 0.029509 0.007049 0.346457 -0.078740
0.046913 0.028971 0.007720 0.346457 -0.078740
0.050463 0.028797 0.008391 0.346457 -0.078740
0.054024 0.028375 0.009063 0.346457 -0.078740
0.057753 0.028644 0.009734 0.346457 -0.078740
0.061764 0.028681 0.010405 0.346457 -0.078740
0.065979 0.027844 0.011077 0.346457 -0.078740
0.070763 0.027492 0.011748 0.346457 -0.078740
0.075265 0.027451 0.012419 0.346457 -0.078740
0.079064 0.027663 0.013091 0.346457 -0.078740
0.083418 0.026590 0.013762 0.346457 -0.078740
0.087527 0.027007 0.014433 0.346457 -0.078740
0.091699 0.027516 0.015105 0.346457 -0.078740
0.095643 0.026408 0.015776 0.346457 -0.078740
0.099620 0.026645 0.016447 0.346457 -0.078740
0.103303 0.026571 0.017119 0.346457 -0.078740
0.107096 0.026425 0.017790 0.346457 -0.078740
0.110761 0.026583 0.018461 0.346457 -0.078740
0.114513 0.026119 0.019133 0.346457 -0.078740
0.118412 0.025633 0.019804 0.346457 -0.078740
0.122149 0.025411 0.020475 0.346457 -0.078740
0.126292 0.025311 0.021147 0.346457 -0.078740
0.130295 0.025414 0.021818 0.346457 -0.078740
0.133925 0.024513 0.022489 0.346457 -0.078740
0.137591 0.024198 0.023160 0.346457 -0.078740
0.141469 0.024345 0.023832 0.346457 -0.078740
0.146000 0.025036 0.024503 0.346457 -0.078740
0.150097 0.024554 0.025174 0.346457 -0.078740
0.153755 0.023751 0.025846 0.346457 -0.078740
0.157479 0.024236 0.026517 0.346457 -0.078740
0.161334 0.023497 0.027188 0.346457 -0.078740
0.165633 0.023361 0.027860 0.346457 -0.078740
0.169900 0.021970 0.028531 0.346457 -0.078740
0.173862 0.022602 0.029202 0.346457 -0.078740
0.178006 0.022196 0.029874 0.346457 -0.078740
0.182455 0.021500 0.030545 0.346457 -0.078740
0.186789 0.020773 0.031216 0.346457 -0.078740
0.191270 0.021142 0.031888 0.346457 -0.078740
0.195362 0.019503 0.032559 0.346457 -0.078740
0.199112 0.020022 0.033230 0.346457 -0.078740
0.202888 0.019875 0.033902 0.346457 -0.078740
0.206581 0.020100 0.034573 0.346457 -0.078740
0.210246 0.018385 0.035244 0.346457 -0.078740
0.213984 0.019166 0.035916 0.346457 -0.078740
0.218027 0.017705 0.036587 0.346457 -0.078740
0.221721 0.017624 0.037258 0.346457 -0.078740
0.225999 0.018256 0.037929 0.346457 -0.078740
0.229602 0.018243 0.038601 0.346457 -0.078740
0.233402 0.017135 0.039272 0.346457 -0.078740
0.237266 0.016216 0.039943 0.346457 -0.078740
0.241398 0.016325 0.040615 0.346457 -0.078740
0.245858 0.014229 0.041286 0.346457 -0.078740
0.249829 0.012332 0.041957 0.346457 -0.078740
0.253773 0.011925 0.042629 0.346457 -0.078740
0.257096 0.012053 0.043300 0.346457 -0.078740
0.260446 0.012637 0.043971 0.346457 -0.078740
0.264390 0.010385 0.044643 0.346457 -0.078740
0.268819 0.009040 0.045314 0.346457 -0.078740
0.272687 0.009420 0.045985 0.346457 -0.078740
0.276692 0.008599 0.046657 0.346457 -0.078740
0.280777 0.006448 0.047328 0.346457 -0.078740
0.284713 0.006318 0.047999 0.346457 -0.078740
0.288715 0.006392 0.048671 0.346457 -0.078740
0.292398 0.005276 0.049342 0.346457 -0.078740
0.296450 0.005505 0.050013 0.346457 -0.078740
0.300730 0.006034 0.050684 0.346457 -0.078740
0.304132 0.004172 0.051356 0.346457 -0.078740
0.307719 0.005415 0.052027 0.346457 -0.078740
0.311600 0.004115 0.052698 0.346457 -0.078740
0.315699 0.002336 0.053370 0.346457 -0.078740
0.319610 0.000729 0.054041 0.346457 -0.078740
0.323259 -0.000488 0.054712 0.346457 -0.078740
0.326705 0.000974 0.055384 0.346457 -0.078740
0.331298 -0.002279 0.056055 0.346457 -0.078740
0.335197 -0.004796 0.056726 0.346457 -0.078740
0.339009 -0.007140 0.057398 0.346457 -0.078740
0.342915 -0.003502 0.058069 0.346457 -0.078740
0.346927 -0.010059 0.058740 0.346457 -0.078740
0.351085 -0.016142 0.059412 0.346457 -0.078740
0.355625 -0.021224 0.060083 0.346457 -0.078740
0.359913 -0.019303 0.060754 0.346457 -0.078740
0.363809 -0.023189 0.061426 0.346457 -0.078740
0.367881 -0.026742 0.062097 0.346457 -0.078740
0.372085 -0.032255 0.062768 0.346457 -0.078740
0.376322 -0.038958 0.063440 0.346457 -0.078740
0.380491 -0.039919 0.064111 0.346457 -0.078740
0.384790 -0.048048 0.064782 0.346457 -0.078740
0.389031 -0.048063 0.065453 0.346457 -0.078740
0.393348 -0.068556 0.066125 0.346457 -0.078740
0.397424 -0.075022 0.066796 0.346457 -0.078740
0.401495 -0.070102 0.067467 0.346457 -0.078740
0.405460 -0.071414 0.068139 0.346457 -0.078740
0.407493 -0.119719 0.068810 0.346457 -0.078740
0.000000 -nan 0.069481 0.346457 -0.078740
0.000000 -nan 0.070153 0.346457 -0.078740
0.000000 -nan 0.070824 0.346457 -0.078740
0.000000 -nan 0.071495 0.346457 -0.078740
0.000000 -nan 0.072167 0.346457 -0.078740
0.000000 -nan 0.072838 0.346457 -0.078740
0.000000 -nan 0.073509 0.346457 -0.078740
0.000000 -nan 0.074181 0.346457 -0.078740
0.000000 -nan 0.074852 0.346457 -0.078740
0.000000 -nan 0.075523 0.346457 -0.078740
0.000000 -nan 0.076195 0.346457 -0.078740
0.000000 -nan 0.076866 0.346457 -0.078740
0.000000 -nan 0.077537 0.346457 -0.078740
0.000000 -nan 0.078209 0.346457 -0.078740
0.000000 -nan 0.078880 0.346457 -0.078740
0.000000 -nan 0.079551 0.346457 -0.078740
0.000000 -nan 0.080222 0.346457 -0.078740
0.000000 -nan 0.080894 0.346457 -0.078740
0.000000 -nan 0.081565 0.346457 -0.078740
0.000000 -nan 0.082236 0.346457 -0.078740
0.000000 -nan 0.082908 0.346457 -0.078740
0.000000 -nan 0.083579 0.346457 -0.078740
0.000000 -nan 0.084250 0.346457 -0.078740
0.000000 -nan 0.084922 0.346457 -0.078740
0.000000 -nan 0.085593 0.346457 -0.078740
0.000000 -nan 0.086264 0.346457 -0.078740
0.000000 -nan 0.086936 0.346457 -0.078740
0.000000 -nan 0.087607 0.346457 -0.078740
0.000000 -nan 0.088278 0.346457 -0.078740
0.000000 -nan 0.088950 0.346457 -0.078740
0.000000 -nan 0.089621 0.346457 -0.078740
0.000000 -nan 0.090292 0.346457 -0.078740
0.000000 -nan 0.090964 0.346457 -0.078740
0.000000 -nan 0.091635 0.346457 -0.078740
0.000000 -nan 0.092306 0.346457 -0.078740
0.000000 -nan 0.092978 0.346457 -0.078740
0.000000 -nan 0.093649 0.346457 -0.078740
0.000000 -nan 0.094320 0.346457 -0.078740
0.000000 -nan 0.094991 0.346457 -0.078740
0.000000 -nan 0.095663 0.346457 -0.078740
0.000000 -nan 0.096334 0.346457 -0.078740
0.000000 -nan 0.097005 0.346457 -0.078740
0.000000 -nan 0.097677 0.346457 -0.078740
0.000000 -nan 0.098348 0.346457 -0.078740
0.000000 -nan 0.099019 0.346457 -0.078740
0.000000 -nan 0.099691 0.346457 -0.078740
0.000000 -nan 0.100362 0.346457 -0.078740
0.000000 -nan 0.101033 0.346457 -0.078740
0.000000 -nan 0.101705 0.346457 -0.078740
0.000000 -nan 0.102376 0.346457 -0.078740
0.000000 -nan 0.103047 0.346457 -0.078740
0.000000 -nan 0.103719 0.346457 -0.078740
0.000000 -nan 0.104390 0.346457 -0.078740
0.000000 -nan 0.105061 0.346457 -0.078740
0.000000 -nan 0.105733 0.346457 -0.078740
0.000000 -nan 0.106404 0.346457 -0.078740
0.000000 -nan 0.107075 0.346457 -0.078740
0.000000 -nan 0.107747 0.346457 -0.078740
0.000000 -nan 0.108418 0.346457 -0.078740
0.000000 -nan 0.109089 0.346457 -0.078740
0.000000 -nan 0.109760 0.346457 -0.078740
0.000000 -nan 0.110432 0.346457 -0.078740
0.000000 -nan 0.111103 0.346457 -0.078740
0.000000 -nan 0.111774 0.346457 -0.078740
0.000000 -nan 0.112446 0.346457 -0.078740
0.000000 -nan 0.113117 0.346457 -0.078740
0.000000 -nan 0.113788 0.346457 -0.078740
0.000000 -nan 0.114460 0.346457 -0.078740
0.000000 -nan 0.115131 0.346457 -0.078740
0.000000 -nan 0.115802 0.346457 -0.078740
0.000000 -nan 0.116474 0.346457 -0.078740
0.000000 -nan 0.117145 0.346457 -0.078740
0.000000 -nan 0.117816 0.346457 -0.078740
0.000000 -nan 0.118488 0.346457 -0.078740
0.000000 -nan 0.119159 0.346457 -0.078740
0.000000 -nan 0.119830 0.346457 -0.078740
0.000000 -nan 0.120502 0.346457 -0.078740
0.000000 -nan 0.121173 0.346457 -0.078740
0.000000 -nan 0.121844 0.346457 -0.078740
0.000000 -nan 0.122516 0.346457 -0.078740
0.000000 -nan 0.123187 0.346457 -0.078740
0.000000 -nan 0.123858 0.346457 -0.078740
0.000000 -nan 0.124529 0.346457 -0.078740
0.000000 -nan 0.125201 0.346457 -0.078740
0.000000 -nan 0.125872 0.346457 -0.078740
0.000000 -nan 0.126543 0.346457 -0.078740
0.000000 -nan 0.127215 0.346457 -0.078740
0.000000 -nan 0.127886 0.346457 -0.078740
0.000000 -nan 0.128557 0.346457 -0.078740
0.000000 -nan 0.129229 0.346457 -0.078740
0.000000 -nan 0.129900 0.346457 -0.078740
0.000000 -nan 0.130571 0.346457 -0.078740
0.000000 -nan 0.131243 0.346457 -0.078740
0.000000 -nan 0.131914 0.346457 -0.078740
0.000000 -nan 0.132585 0.346457 -0.078740
0.000000 -nan 0.133257 0.346457 -0.078740
0.000000 -nan 0.133928 0.346457 -0.078740
0.000000 -nan 0.134599 0.346457 -0.078740
0.000000 -nan 0.135271 0.346457 -0.078740
0.000000 -nan 0.135942 0.346457 -0.078740
0.000000 -nan 0.136613 0.346457 -0.078740
0.000000 -nan 0.137285 0.346457 -0.078740
0.000000 -nan 0.137956 0.346457 -0.078740
0.000000 -nan 0.138627 0.346457 -0.078740
0.000000 -nan 0.139298 0.346457 -0.078740
0.000000 -nan 0.139970 0.346457 -0.078740
0.000000 -nan 0.140641 0.346457 -0.078740
0.000000 -nan 0.141312 0.346457 -0.078740
0.000000 -nan 0.141984 0.346457 -0.078740
0.000000 -nan 0.142655 0.346457 -0.078740
0.000000 -nan 0.143326 0.346457 -0.078740
0.000000 -nan 0.143998 0.346457 -0.078740
0.000000 -nan 0.144669 0.346457 -0.078740
0.000000 -nan 0.145340 0.346457 -0.078740
0.000000 -nan 0.146012 0.346457 -0.078740
0.000000 -nan 0.146683 0.346457 -0.078740
0.000000 -nan 0.147354 0.346457 -0.078740
0.000000 -nan 0.148026 0.346457 -0.078740
0.000000 -nan 0.148697 0.346457 -0.078740
0.000000 -nan 0.149368 0.346457 -0.078740
0.000000 -nan 0.150040 0.346457 -0.078740
0.000000 -nan 0.150711 0.346457 -0.078740
0.000000 -nan 0.151382 0.346457 -0.078740
0.000000 -nan 0.152053 0.346457 -0.078740
0.000000 -nan 0.152725 0.346457 -0.078740
0.000000 -nan 0.153396 0.346457 -0.078740
0.000000 -nan 0.154067 0.346457 -0.078740
0.000000 -nan 0.154739 0.346457 -0.078740
0.000000 -nan 0.155410 0.346457 -0.078740
0.000000 -nan 0.156081 0.346457 -0.078740
0.000000 -nan 0.156753 0.346457 -0.078740
0.000000 -nan 0.157424 0.346457 -0.078740
0.000000 -nan 0.158095 0.346457 -0.078740
0.000000 -nan 0.158767 0.346457 -0.078740
0.000000 -nan 0.159438 0.346457 -0.078740
0.000000 -nan 0.160109 0.346457 -0.078740
0.000000 -nan 0.160781 0.346457 -0.078740
0.000000 -nan 0.161452 0.346457 -0.078740
0.000000 -nan 0.162123 0.346457 -0.078740
0.000000 -nan 0.162795 0.346457 -0.078740
0.000000 -nan 0.163466 0.346457 -0.078740
0.000000 -nan 0.164137 0.346457 -0.078740
0.000000 -nan 0.164809 0.346457 -0.078740
0.000000 -nan 0.165480 0.346457 -0.078740
0.000000 -nan 0.166151 0.346457 -0.078740
0.000000 -nan 0.166822 0.346457 -0.078740
0.000000 -nan 0.167494 0.346457 -0.078740
