SoC E[V] Tiempo logChi logEle
0.003027 0.049024 0.000082 0.913386 0.535433
0.007255 0.041870 0.000245 0.913386 0.535433
0.011771 0.038466 0.000408 0.913386 0.535433
0.015765 0.037817 0.000571 0.913386 0.535433
0.019811 0.036566 0.000734 0.913386 0.535433
0.023961 0.035273 0.000898 0.913386 0.535433
0.027887 0.034647 0.001061 0.913386 0.535433
0.031521 0.033661 0.001224 0.913386 0.535433
0.035145 0.033556 0.001387 0.913386 0.535433
0.039054 0.032719 0.001551 0.913386 0.535433
0.043562 0.032021 0.001714 0.913386 0.535433
0.048241 0.030129 0.001877 0.913386 0.535433
0.051775 0.029936 0.002040 0.913386 0.535433
0.055259 0.028181 0.002203 0.913386 0.535433
0.059069 0.027744 0.002367 0.913386 0.535433
0.063585 0.026257 0.002530 0.913386 0.535433
0.067708 0.023080 0.002693 0.913386 0.535433
0.072110 0.021317 0.002856 0.913386 0.535433
0.076607 0.019803 0.003019 0.913386 0.535433
0.080301 0.017324 0.003183 0.913386 0.535433
0.083944 0.016033 0.003346 0.913386 0.535433
0.087379 0.013139 0.003509 0.913386 0.535433
0.091584 0.004746 0.003672 0.913386 0.535433
0.096432 -0.008009 0.003836 0.913386 0.535433
0.100609 -0.012810 0.003999 0.913386 0.535433
0.104824 -0.015246 0.004162 0.913386 0.535433
0.108728 -0.023807 0.004325 0.913386 0.535433
0.113047 -0.048965 0.004488 0.913386 0.535433
0.115660 -0.086165 0.004652 0.913386 0.535433
0.000000 -nan 0.004815 0.913386 0.535433
0.000000 -nan 0.004978 0.913386 0.535433
0.000000 -nan 0.005141 0.913386 0.535433
0.000000 -nan 0.005304 0.913386 0.535433
0.000000 -nan 0.005468 0.913386 0.535433
0.000000 -nan 0.005631 0.913386 0.535433
0.000000 -nan 0.005794 0.913386 0.535433
0.000000 -nan 0.005957 0.913386 0.535433
0.000000 -nan 0.006120 0.913386 0.535433
0.000000 -nan 0.006284 0.913386 0.535433
0.000000 -nan 0.006447 0.913386 0.535433
0.000000 -nan 0.006610 0.913386 0.535433
0.000000 -nan 0.006773 0.913386 0.535433
0.000000 -nan 0.006937 0.913386 0.535433
0.000000 -nan 0.007100 0.913386 0.535433
0.000000 -nan 0.007263 0.913386 0.535433
0.000000 -nan 0.007426 0.913386 0.535433
0.000000 -nan 0.007589 0.913386 0.535433
0.000000 -nan 0.007753 0.913386 0.535433
0.000000 -nan 0.007916 0.913386 0.535433
0.000000 -nan 0.008079 0.913386 0.535433
0.000000 -nan 0.008242 0.913386 0.535433
0.000000 -nan 0.008405 0.913386 0.535433
0.000000 -nan 0.008569 0.913386 0.535433
0.000000 -nan 0.008732 0.913386 0.535433
0.000000 -nan 0.008895 0.913386 0.535433
0.000000 -nan 0.009058 0.913386 0.535433
0.000000 -nan 0.009222 0.913386 0.535433
0.000000 -nan 0.009385 0.913386 0.535433
0.000000 -nan 0.009548 0.913386 0.535433
0.000000 -nan 0.009711 0.913386 0.535433
0.000000 -nan 0.009874 0.913386 0.535433
0.000000 -nan 0.010038 0.913386 0.535433
0.000000 -nan 0.010201 0.913386 0.535433
0.000000 -nan 0.010364 0.913386 0.535433
0.000000 -nan 0.010527 0.913386 0.535433
0.000000 -nan 0.010690 0.913386 0.535433
0.000000 -nan 0.010854 0.913386 0.535433
0.000000 -nan 0.011017 0.913386 0.535433
0.000000 -nan 0.011180 0.913386 0.535433
0.000000 -nan 0.011343 0.913386 0.535433
0.000000 -nan 0.011507 0.913386 0.535433
0.000000 -nan 0.011670 0.913386 0.535433
0.000000 -nan 0.011833 0.913386 0.535433
0.000000 -nan 0.011996 0.913386 0.535433
0.000000 -nan 0.012159 0.913386 0.535433
0.000000 -nan 0.012323 0.913386 0.535433
0.000000 -nan 0.012486 0.913386 0.535433
0.000000 -nan 0.012649 0.913386 0.535433
0.000000 -nan 0.012812 0.913386 0.535433
0.000000 -nan 0.012975 0.913386 0.535433
0.000000 -nan 0.013139 0.913386 0.535433
0.000000 -nan 0.013302 0.913386 0.535433
0.000000 -nan 0.013465 0.913386 0.535433
0.000000 -nan 0.013628 0.913386 0.535433
0.000000 -nan 0.013792 0.913386 0.535433
0.000000 -nan 0.013955 0.913386 0.535433
0.000000 -nan 0.014118 0.913386 0.535433
0.000000 -nan 0.014281 0.913386 0.535433
0.000000 -nan 0.014444 0.913386 0.535433
0.000000 -nan 0.014608 0.913386 0.535433
0.000000 -nan 0.014771 0.913386 0.535433
0.000000 -nan 0.014934 0.913386 0.535433
0.000000 -nan 0.015097 0.913386 0.535433
0.000000 -nan 0.015260 0.913386 0.535433
0.000000 -nan 0.015424 0.913386 0.535433
0.000000 -nan 0.015587 0.913386 0.535433
0.000000 -nan 0.015750 0.913386 0.535433
0.000000 -nan 0.015913 0.913386 0.535433
0.000000 -nan 0.016076 0.913386 0.535433
0.000000 -nan 0.016240 0.913386 0.535433
0.000000 -nan 0.016403 0.913386 0.535433
0.000000 -nan 0.016566 0.913386 0.535433
0.000000 -nan 0.016729 0.913386 0.535433
0.000000 -nan 0.016893 0.913386 0.535433
0.000000 -nan 0.017056 0.913386 0.535433
0.000000 -nan 0.017219 0.913386 0.535433
0.000000 -nan 0.017382 0.913386 0.535433
0.000000 -nan 0.017545 0.913386 0.535433
0.000000 -nan 0.017709 0.913386 0.535433
0.000000 -nan 0.017872 0.913386 0.535433
0.000000 -nan 0.018035 0.913386 0.535433
0.000000 -nan 0.018198 0.913386 0.535433
0.000000 -nan 0.018361 0.913386 0.535433
0.000000 -nan 0.018525 0.913386 0.535433
0.000000 -nan 0.018688 0.913386 0.535433
0.000000 -nan 0.018851 0.913386 0.535433
0.000000 -nan 0.019014 0.913386 0.535433
0.000000 -nan 0.019178 0.913386 0.535433
0.000000 -nan 0.019341 0.913386 0.535433
0.000000 -nan 0.019504 0.913386 0.535433
0.000000 -nan 0.019667 0.913386 0.535433
0.000000 -nan 0.019830 0.913386 0.535433
0.000000 -nan 0.019994 0.913386 0.535433
0.000000 -nan 0.020157 0.913386 0.535433
0.000000 -nan 0.020320 0.913386 0.535433
0.000000 -nan 0.020483 0.913386 0.535433
0.000000 -nan 0.020646 0.913386 0.535433
0.000000 -nan 0.020810 0.913386 0.535433
0.000000 -nan 0.020973 0.913386 0.535433
0.000000 -nan 0.021136 0.913386 0.535433
0.000000 -nan 0.021299 0.913386 0.535433
0.000000 -nan 0.021463 0.913386 0.535433
0.000000 -nan 0.021626 0.913386 0.535433
