SoC E[V] Tiempo logChi logEle
0.000019 -0.152714 0.000005 -0.503937 1.574803
0.000000 -nan 0.000016 -0.503937 1.574803
0.000000 -nan 0.000027 -0.503937 1.574803
0.000000 -nan 0.000038 -0.503937 1.574803
0.000000 -nan 0.000049 -0.503937 1.574803
0.000000 -nan 0.000060 -0.503937 1.574803
0.000000 -nan 0.000071 -0.503937 1.574803
0.000000 -nan 0.000082 -0.503937 1.574803
0.000000 -nan 0.000093 -0.503937 1.574803
0.000000 -nan 0.000104 -0.503937 1.574803
0.000000 -nan 0.000115 -0.503937 1.574803
0.000000 -nan 0.000126 -0.503937 1.574803
0.000000 -nan 0.000137 -0.503937 1.574803
0.000000 -nan 0.000148 -0.503937 1.574803
0.000000 -nan 0.000159 -0.503937 1.574803
0.000000 -nan 0.000170 -0.503937 1.574803
0.000000 -nan 0.000181 -0.503937 1.574803
0.000000 -nan 0.000192 -0.503937 1.574803
0.000000 -nan 0.000203 -0.503937 1.574803
0.000000 -nan 0.000214 -0.503937 1.574803
0.000000 -nan 0.000225 -0.503937 1.574803
0.000000 -nan 0.000235 -0.503937 1.574803
0.000000 -nan 0.000246 -0.503937 1.574803
0.000000 -nan 0.000257 -0.503937 1.574803
0.000000 -nan 0.000268 -0.503937 1.574803
0.000000 -nan 0.000279 -0.503937 1.574803
0.000000 -nan 0.000290 -0.503937 1.574803
0.000000 -nan 0.000301 -0.503937 1.574803
0.000000 -nan 0.000312 -0.503937 1.574803
0.000000 -nan 0.000323 -0.503937 1.574803
0.000000 -nan 0.000334 -0.503937 1.574803
0.000000 -nan 0.000345 -0.503937 1.574803
0.000000 -nan 0.000356 -0.503937 1.574803
0.000000 -nan 0.000367 -0.503937 1.574803
0.000000 -nan 0.000378 -0.503937 1.574803
0.000000 -nan 0.000389 -0.503937 1.574803
0.000000 -nan 0.000400 -0.503937 1.574803
0.000000 -nan 0.000411 -0.503937 1.574803
0.000000 -nan 0.000422 -0.503937 1.574803
0.000000 -nan 0.000433 -0.503937 1.574803
