SoC E[V] Tiempo logChi logEle
0.002009 -0.084881 0.001014 -1.070866 -0.692913
0.005669 -0.084264 0.003043 -1.070866 -0.692913
0.009793 -0.083786 0.005072 -1.070866 -0.692913
0.013816 -0.083557 0.007100 -1.070866 -0.692913
0.018176 -0.083016 0.009129 -1.070866 -0.692913
0.022141 -0.082789 0.011158 -1.070866 -0.692913
0.025978 -0.082589 0.013186 -1.070866 -0.692913
0.029776 -0.082395 0.015215 -1.070866 -0.692913
0.033688 -0.082247 0.017244 -1.070866 -0.692913
0.037735 -0.082350 0.019272 -1.070866 -0.692913
0.041682 -0.081985 0.021301 -1.070866 -0.692913
0.045697 -0.081799 0.023330 -1.070866 -0.692913
0.049615 -0.081563 0.025358 -1.070866 -0.692913
0.053602 -0.081545 0.027387 -1.070866 -0.692913
0.057472 -0.081544 0.029415 -1.070866 -0.692913
0.061319 -0.081405 0.031444 -1.070866 -0.692913
0.065357 -0.081113 0.033473 -1.070866 -0.692913
0.069501 -0.081156 0.035501 -1.070866 -0.692913
0.073623 -0.080935 0.037530 -1.070866 -0.692913
0.077686 -0.080591 0.039559 -1.070866 -0.692913
0.081688 -0.080870 0.041587 -1.070866 -0.692913
0.085646 -0.080660 0.043616 -1.070866 -0.692913
0.089634 -0.080295 0.045645 -1.070866 -0.692913
0.093640 -0.080382 0.047673 -1.070866 -0.692913
0.098063 -0.080212 0.049702 -1.070866 -0.692913
0.102030 -0.080296 0.051731 -1.070866 -0.692913
0.105684 -0.080160 0.053759 -1.070866 -0.692913
0.109711 -0.080004 0.055788 -1.070866 -0.692913
0.113498 -0.079600 0.057817 -1.070866 -0.692913
0.117488 -0.079860 0.059845 -1.070866 -0.692913
0.121454 -0.079838 0.061874 -1.070866 -0.692913
0.125323 -0.079661 0.063903 -1.070866 -0.692913
0.129237 -0.079633 0.065931 -1.070866 -0.692913
0.133347 -0.079561 0.067960 -1.070866 -0.692913
0.137680 -0.079276 0.069989 -1.070866 -0.692913
0.141688 -0.079423 0.072017 -1.070866 -0.692913
0.145763 -0.079052 0.074046 -1.070866 -0.692913
0.150111 -0.078757 0.076075 -1.070866 -0.692913
0.154318 -0.078721 0.078103 -1.070866 -0.692913
0.158230 -0.078609 0.080132 -1.070866 -0.692913
0.162245 -0.078445 0.082160 -1.070866 -0.692913
0.166488 -0.078552 0.084189 -1.070866 -0.692913
0.170258 -0.078772 0.086218 -1.070866 -0.692913
0.173907 -0.078519 0.088246 -1.070866 -0.692913
0.177988 -0.078542 0.090275 -1.070866 -0.692913
0.182093 -0.078369 0.092304 -1.070866 -0.692913
0.186009 -0.078131 0.094332 -1.070866 -0.692913
0.190046 -0.078164 0.096361 -1.070866 -0.692913
0.193972 -0.078292 0.098390 -1.070866 -0.692913
0.198010 -0.078319 0.100418 -1.070866 -0.692913
0.201931 -0.078426 0.102447 -1.070866 -0.692913
0.206109 -0.078314 0.104476 -1.070866 -0.692913
0.210428 -0.078182 0.106504 -1.070866 -0.692913
0.214552 -0.078221 0.108533 -1.070866 -0.692913
0.218719 -0.077958 0.110562 -1.070866 -0.692913
0.222701 -0.078019 0.112590 -1.070866 -0.692913
0.226767 -0.077994 0.114619 -1.070866 -0.692913
0.230900 -0.078060 0.116648 -1.070866 -0.692913
0.234639 -0.078014 0.118676 -1.070866 -0.692913
0.238442 -0.077971 0.120705 -1.070866 -0.692913
0.242693 -0.077932 0.122734 -1.070866 -0.692913
0.246512 -0.077850 0.124762 -1.070866 -0.692913
0.250431 -0.077774 0.126791 -1.070866 -0.692913
0.254200 -0.077644 0.128819 -1.070866 -0.692913
0.258176 -0.077668 0.130848 -1.070866 -0.692913
0.262235 -0.077818 0.132877 -1.070866 -0.692913
0.265994 -0.077683 0.134905 -1.070866 -0.692913
0.269944 -0.077599 0.136934 -1.070866 -0.692913
0.273976 -0.077675 0.138963 -1.070866 -0.692913
0.278047 -0.077620 0.140991 -1.070866 -0.692913
0.281951 -0.077576 0.143020 -1.070866 -0.692913
0.285933 -0.077690 0.145049 -1.070866 -0.692913
0.289814 -0.077513 0.147077 -1.070866 -0.692913
0.293506 -0.077563 0.149106 -1.070866 -0.692913
0.297279 -0.077864 0.151135 -1.070866 -0.692913
0.301281 -0.077471 0.153163 -1.070866 -0.692913
0.305096 -0.077866 0.155192 -1.070866 -0.692913
0.308745 -0.077790 0.157221 -1.070866 -0.692913
0.313067 -0.077835 0.159249 -1.070866 -0.692913
0.316817 -0.077734 0.161278 -1.070866 -0.692913
0.320799 -0.077688 0.163307 -1.070866 -0.692913
0.324828 -0.077449 0.165335 -1.070866 -0.692913
0.329090 -0.077837 0.167364 -1.070866 -0.692913
0.333106 -0.077599 0.169393 -1.070866 -0.692913
0.337193 -0.077909 0.171421 -1.070866 -0.692913
0.341231 -0.077841 0.173450 -1.070866 -0.692913
0.344884 -0.077947 0.175479 -1.070866 -0.692913
0.348611 -0.078317 0.177507 -1.070866 -0.692913
0.352627 -0.077813 0.179536 -1.070866 -0.692913
0.357056 -0.077902 0.181564 -1.070866 -0.692913
0.361314 -0.077846 0.183593 -1.070866 -0.692913
0.365570 -0.078122 0.185622 -1.070866 -0.692913
0.369638 -0.078145 0.187650 -1.070866 -0.692913
0.373418 -0.077596 0.189679 -1.070866 -0.692913
0.377411 -0.077814 0.191708 -1.070866 -0.692913
0.381285 -0.077807 0.193736 -1.070866 -0.692913
0.385004 -0.078256 0.195765 -1.070866 -0.692913
0.389204 -0.078204 0.197794 -1.070866 -0.692913
