SoC E[V] Tiempo logChi logEle
0.003000 0.014863 0.000103 0.299213 0.299213
0.006372 0.014376 0.000310 0.299213 0.299213
0.010246 0.013568 0.000516 0.299213 0.299213
0.014608 0.013016 0.000723 0.299213 0.299213
0.018542 0.012560 0.000930 0.299213 0.299213
0.023162 0.011449 0.001136 0.299213 0.299213
0.027180 0.012167 0.001343 0.299213 0.299213
0.030682 0.012203 0.001549 0.299213 0.299213
0.035133 0.011714 0.001756 0.299213 0.299213
0.039439 0.010963 0.001962 0.299213 0.299213
0.043453 0.010071 0.002169 0.299213 0.299213
0.047585 0.010599 0.002376 0.299213 0.299213
0.051520 0.010406 0.002582 0.299213 0.299213
0.055517 0.010107 0.002789 0.299213 0.299213
0.059725 0.009777 0.002995 0.299213 0.299213
0.063948 0.008205 0.003202 0.299213 0.299213
0.067920 0.008727 0.003409 0.299213 0.299213
0.072372 0.009005 0.003615 0.299213 0.299213
0.076824 0.007800 0.003822 0.299213 0.299213
0.081008 0.007654 0.004028 0.299213 0.299213
0.084832 0.007556 0.004235 0.299213 0.299213
0.089213 0.006085 0.004441 0.299213 0.299213
0.092975 0.007355 0.004648 0.299213 0.299213
0.096760 0.006722 0.004855 0.299213 0.299213
0.100664 0.005336 0.005061 0.299213 0.299213
0.104550 0.003957 0.005268 0.299213 0.299213
0.108203 0.002594 0.005474 0.299213 0.299213
0.112077 -0.000604 0.005681 0.299213 0.299213
0.115945 -0.001137 0.005887 0.299213 0.299213
0.119882 -0.001383 0.006094 0.299213 0.299213
0.123754 -0.000136 0.006301 0.299213 0.299213
0.128208 -0.009108 0.006507 0.299213 0.299213
0.132444 -0.010208 0.006714 0.299213 0.299213
0.136667 -0.014806 0.006920 0.299213 0.299213
0.140343 -0.013423 0.007127 0.299213 0.299213
0.143920 -0.009435 0.007333 0.299213 0.299213
0.148195 -0.016974 0.007540 0.299213 0.299213
0.152298 -0.022637 0.007747 0.299213 0.299213
0.156352 -0.025750 0.007953 0.299213 0.299213
0.160163 -0.025690 0.008160 0.299213 0.299213
0.164105 -0.025217 0.008366 0.299213 0.299213
0.168416 -0.042096 0.008573 0.299213 0.299213
0.172353 -0.048298 0.008780 0.299213 0.299213
0.176011 -0.048601 0.008986 0.299213 0.299213
0.180003 -0.048136 0.009193 0.299213 0.299213
0.184022 -0.060417 0.009399 0.299213 0.299213
0.187746 -0.063105 0.009606 0.299213 0.299213
0.191084 -0.098759 0.009812 0.299213 0.299213
0.000000 -nan 0.010019 0.299213 0.299213
0.000000 -nan 0.010226 0.299213 0.299213
0.000000 -nan 0.010432 0.299213 0.299213
0.000000 -nan 0.010639 0.299213 0.299213
0.000000 -nan 0.010845 0.299213 0.299213
