SoC E[V] Tiempo logChi logEle
0.003893 0.072352 0.001014 0.488189 -0.692913
0.008291 0.065809 0.003043 0.488189 -0.692913
0.011594 0.064584 0.005072 0.488189 -0.692913
0.015824 0.061629 0.007100 0.488189 -0.692913
0.020199 0.059152 0.009129 0.488189 -0.692913
0.024333 0.058454 0.011158 0.488189 -0.692913
0.027573 0.058194 0.013186 0.488189 -0.692913
0.031290 0.056965 0.015215 0.488189 -0.692913
0.035393 0.056491 0.017244 0.488189 -0.692913
0.038912 0.055477 0.019272 0.488189 -0.692913
0.042565 0.055238 0.021301 0.488189 -0.692913
0.045836 0.054506 0.023330 0.488189 -0.692913
0.049708 0.055002 0.025358 0.488189 -0.692913
0.053389 0.054972 0.027387 0.488189 -0.692913
0.055857 0.055495 0.029415 0.488189 -0.692913
0.059121 0.054285 0.031444 0.488189 -0.692913
0.063274 0.052247 0.033473 0.488189 -0.692913
0.067749 0.051735 0.035501 0.488189 -0.692913
0.072072 0.051342 0.037530 0.488189 -0.692913
0.076475 0.050214 0.039559 0.488189 -0.692913
0.080525 0.051106 0.041587 0.488189 -0.692913
0.084628 0.050124 0.043616 0.488189 -0.692913
0.087617 0.050559 0.045645 0.488189 -0.692913
0.091422 0.049736 0.047673 0.488189 -0.692913
0.096165 0.048926 0.049702 0.488189 -0.692913
0.100914 0.048628 0.051731 0.488189 -0.692913
0.104689 0.048829 0.053759 0.488189 -0.692913
0.107974 0.049086 0.055788 0.488189 -0.692913
0.111471 0.048604 0.057817 0.488189 -0.692913
0.115620 0.048402 0.059845 0.488189 -0.692913
0.119143 0.047408 0.061874 0.488189 -0.692913
0.123026 0.047906 0.063903 0.488189 -0.692913
0.126328 0.047026 0.065931 0.488189 -0.692913
0.131323 0.046661 0.067960 0.488189 -0.692913
0.134974 0.047032 0.069989 0.488189 -0.692913
0.139821 0.046727 0.072017 0.488189 -0.692913
0.144426 0.046441 0.074046 0.488189 -0.692913
0.148249 0.046287 0.076075 0.488189 -0.692913
0.151366 0.046504 0.078103 0.488189 -0.692913
0.155758 0.046332 0.080132 0.488189 -0.692913
0.159837 0.045584 0.082160 0.488189 -0.692913
0.163994 0.045715 0.084189 0.488189 -0.692913
0.168515 0.045428 0.086218 0.488189 -0.692913
0.173475 0.045367 0.088246 0.488189 -0.692913
0.178267 0.045192 0.090275 0.488189 -0.692913
0.181848 0.045325 0.092304 0.488189 -0.692913
0.185853 0.045177 0.094332 0.488189 -0.692913
0.190206 0.044698 0.096361 0.488189 -0.692913
0.194134 0.044795 0.098390 0.488189 -0.692913
0.198311 0.044329 0.100418 0.488189 -0.692913
0.201903 0.043753 0.102447 0.488189 -0.692913
0.205469 0.044100 0.104476 0.488189 -0.692913
0.210009 0.044164 0.106504 0.488189 -0.692913
0.214382 0.043546 0.108533 0.488189 -0.692913
0.218844 0.043252 0.110562 0.488189 -0.692913
0.223060 0.043552 0.112590 0.488189 -0.692913
0.227075 0.043239 0.114619 0.488189 -0.692913
0.230581 0.043766 0.116648 0.488189 -0.692913
0.234260 0.043557 0.118676 0.488189 -0.692913
0.237841 0.043797 0.120705 0.488189 -0.692913
0.242600 0.042985 0.122734 0.488189 -0.692913
0.246638 0.043724 0.124762 0.488189 -0.692913
0.250402 0.043239 0.126791 0.488189 -0.692913
0.254806 0.043609 0.128819 0.488189 -0.692913
0.259829 0.042997 0.130848 0.488189 -0.692913
0.264602 0.042465 0.132877 0.488189 -0.692913
0.268928 0.042205 0.134905 0.488189 -0.692913
0.273219 0.042281 0.136934 0.488189 -0.692913
0.277391 0.041056 0.138963 0.488189 -0.692913
0.281104 0.041649 0.140991 0.488189 -0.692913
0.284871 0.041673 0.143020 0.488189 -0.692913
