SoC E[V] Tiempo logChi logEle
0.001665 -0.081763 0.000221 -0.692913 -0.031496
0.004902 -0.083821 0.000664 -0.692913 -0.031496
0.009138 -0.085699 0.001106 -0.692913 -0.031496
0.013508 -0.087444 0.001548 -0.692913 -0.031496
0.017125 -0.087374 0.001991 -0.692913 -0.031496
0.020667 -0.088295 0.002433 -0.692913 -0.031496
0.024444 -0.089181 0.002875 -0.692913 -0.031496
0.028524 -0.090098 0.003318 -0.692913 -0.031496
0.032181 -0.090224 0.003760 -0.692913 -0.031496
0.036269 -0.091747 0.004203 -0.692913 -0.031496
0.040144 -0.091483 0.004645 -0.692913 -0.031496
0.044415 -0.093122 0.005087 -0.692913 -0.031496
0.048936 -0.094524 0.005530 -0.692913 -0.031496
0.053069 -0.095156 0.005972 -0.692913 -0.031496
0.056980 -0.095845 0.006414 -0.692913 -0.031496
0.061334 -0.096971 0.006857 -0.692913 -0.031496
0.065505 -0.097193 0.007299 -0.692913 -0.031496
0.069725 -0.098093 0.007742 -0.692913 -0.031496
0.073923 -0.099016 0.008184 -0.692913 -0.031496
0.078253 -0.098780 0.008626 -0.692913 -0.031496
0.082266 -0.099863 0.009069 -0.692913 -0.031496
0.086305 -0.099222 0.009511 -0.692913 -0.031496
0.090611 -0.100926 0.009953 -0.692913 -0.031496
0.094911 -0.101993 0.010396 -0.692913 -0.031496
0.099212 -0.102399 0.010838 -0.692913 -0.031496
0.103616 -0.101821 0.011281 -0.692913 -0.031496
0.107911 -0.103698 0.011723 -0.692913 -0.031496
0.112163 -0.105057 0.012165 -0.692913 -0.031496
0.116802 -0.105380 0.012608 -0.692913 -0.031496
0.121018 -0.106060 0.013050 -0.692913 -0.031496
0.124488 -0.105693 0.013492 -0.692913 -0.031496
0.128139 -0.105539 0.013935 -0.692913 -0.031496
0.132057 -0.107097 0.014377 -0.692913 -0.031496
0.135735 -0.106408 0.014820 -0.692913 -0.031496
0.139654 -0.106075 0.015262 -0.692913 -0.031496
0.143632 -0.108077 0.015704 -0.692913 -0.031496
0.147878 -0.108185 0.016147 -0.692913 -0.031496
0.151834 -0.108788 0.016589 -0.692913 -0.031496
0.155842 -0.109631 0.017031 -0.692913 -0.031496
0.159485 -0.109205 0.017474 -0.692913 -0.031496
0.163659 -0.110563 0.017916 -0.692913 -0.031496
0.167993 -0.110054 0.018359 -0.692913 -0.031496
0.172075 -0.109634 0.018801 -0.692913 -0.031496
0.176098 -0.112383 0.019243 -0.692913 -0.031496
0.179809 -0.111678 0.019686 -0.692913 -0.031496
0.183325 -0.111175 0.020128 -0.692913 -0.031496
0.187052 -0.113588 0.020570 -0.692913 -0.031496
0.191061 -0.114554 0.021013 -0.692913 -0.031496
0.195571 -0.114784 0.021455 -0.692913 -0.031496
0.199976 -0.115636 0.021898 -0.692913 -0.031496
0.204122 -0.114162 0.022340 -0.692913 -0.031496
0.208287 -0.115657 0.022782 -0.692913 -0.031496
0.212333 -0.117936 0.023225 -0.692913 -0.031496
0.216533 -0.117358 0.023667 -0.692913 -0.031496
0.220592 -0.117962 0.024109 -0.692913 -0.031496
0.224697 -0.116794 0.024552 -0.692913 -0.031496
0.228831 -0.116914 0.024994 -0.692913 -0.031496
0.232772 -0.116611 0.025437 -0.692913 -0.031496
0.236160 -0.117199 0.025879 -0.692913 -0.031496
0.239784 -0.118024 0.026321 -0.692913 -0.031496
0.243691 -0.120249 0.026764 -0.692913 -0.031496
0.247411 -0.120530 0.027206 -0.692913 -0.031496
0.251382 -0.120602 0.027648 -0.692913 -0.031496
0.255190 -0.120754 0.028091 -0.692913 -0.031496
0.258815 -0.120772 0.028533 -0.692913 -0.031496
0.262973 -0.123176 0.028976 -0.692913 -0.031496
0.266969 -0.122804 0.029418 -0.692913 -0.031496
0.271297 -0.123131 0.029860 -0.692913 -0.031496
0.274973 -0.122320 0.030303 -0.692913 -0.031496
0.278833 -0.123442 0.030745 -0.692913 -0.031496
0.282749 -0.123289 0.031187 -0.692913 -0.031496
0.286345 -0.123437 0.031630 -0.692913 -0.031496
0.290421 -0.125379 0.032072 -0.692913 -0.031496
0.294302 -0.125436 0.032515 -0.692913 -0.031496
0.297924 -0.125134 0.032957 -0.692913 -0.031496
0.301461 -0.125993 0.033399 -0.692913 -0.031496
0.305168 -0.126650 0.033842 -0.692913 -0.031496
0.308973 -0.127197 0.034284 -0.692913 -0.031496
0.313169 -0.129972 0.034726 -0.692913 -0.031496
0.317132 -0.128235 0.035169 -0.692913 -0.031496
0.321134 -0.129351 0.035611 -0.692913 -0.031496
0.324907 -0.129743 0.036054 -0.692913 -0.031496
0.328676 -0.130429 0.036496 -0.692913 -0.031496
0.333202 -0.132907 0.036938 -0.692913 -0.031496
0.337294 -0.132292 0.037381 -0.692913 -0.031496
0.341425 -0.133848 0.037823 -0.692913 -0.031496
0.345298 -0.133711 0.038265 -0.692913 -0.031496
0.349131 -0.133069 0.038708 -0.692913 -0.031496
0.353351 -0.135120 0.039150 -0.692913 -0.031496
0.357338 -0.134072 0.039593 -0.692913 -0.031496
0.361444 -0.137695 0.040035 -0.692913 -0.031496
0.365636 -0.138290 0.040477 -0.692913 -0.031496
0.369744 -0.139398 0.040920 -0.692913 -0.031496
0.373819 -0.138809 0.041362 -0.692913 -0.031496
0.377653 -0.139095 0.041804 -0.692913 -0.031496
0.381154 -0.137213 0.042247 -0.692913 -0.031496
0.385384 -0.139687 0.042689 -0.692913 -0.031496
0.389429 -0.140732 0.043132 -0.692913 -0.031496
0.391994 -0.141638 0.043574 -0.692913 -0.031496
0.000000 -nan 0.044016 -0.692913 -0.031496
0.000000 -nan 0.044459 -0.692913 -0.031496
0.000000 -nan 0.044901 -0.692913 -0.031496
0.000000 -nan 0.045343 -0.692913 -0.031496
0.000000 -nan 0.045786 -0.692913 -0.031496
0.000000 -nan 0.046228 -0.692913 -0.031496
0.000000 -nan 0.046671 -0.692913 -0.031496
0.000000 -nan 0.047113 -0.692913 -0.031496
0.000000 -nan 0.047555 -0.692913 -0.031496
0.000000 -nan 0.047998 -0.692913 -0.031496
0.000000 -nan 0.048440 -0.692913 -0.031496
0.000000 -nan 0.048882 -0.692913 -0.031496
0.000000 -nan 0.049325 -0.692913 -0.031496
0.000000 -nan 0.049767 -0.692913 -0.031496
0.000000 -nan 0.050210 -0.692913 -0.031496
0.000000 -nan 0.050652 -0.692913 -0.031496
0.000000 -nan 0.051094 -0.692913 -0.031496
0.000000 -nan 0.051537 -0.692913 -0.031496
0.000000 -nan 0.051979 -0.692913 -0.031496
0.000000 -nan 0.052421 -0.692913 -0.031496
0.000000 -nan 0.052864 -0.692913 -0.031496
0.000000 -nan 0.053306 -0.692913 -0.031496
0.000000 -nan 0.053749 -0.692913 -0.031496
0.000000 -nan 0.054191 -0.692913 -0.031496
0.000000 -nan 0.054633 -0.692913 -0.031496
0.000000 -nan 0.055076 -0.692913 -0.031496
0.000000 -nan 0.055518 -0.692913 -0.031496
0.000000 -nan 0.055960 -0.692913 -0.031496
0.000000 -nan 0.056403 -0.692913 -0.031496
0.000000 -nan 0.056845 -0.692913 -0.031496
0.000000 -nan 0.057288 -0.692913 -0.031496
0.000000 -nan 0.057730 -0.692913 -0.031496
0.000000 -nan 0.058172 -0.692913 -0.031496
0.000000 -nan 0.058615 -0.692913 -0.031496
0.000000 -nan 0.059057 -0.692913 -0.031496
0.000000 -nan 0.059499 -0.692913 -0.031496
0.000000 -nan 0.059942 -0.692913 -0.031496
0.000000 -nan 0.060384 -0.692913 -0.031496
0.000000 -nan 0.060827 -0.692913 -0.031496
0.000000 -nan 0.061269 -0.692913 -0.031496
0.000000 -nan 0.061711 -0.692913 -0.031496
0.000000 -nan 0.062154 -0.692913 -0.031496
0.000000 -nan 0.062596 -0.692913 -0.031496
0.000000 -nan 0.063038 -0.692913 -0.031496
