SoC E[V] Tiempo logChi logEle
0.003396 0.076388 0.004652 0.110236 -1.354331
0.007402 0.071002 0.013955 0.110236 -1.354331
0.011839 0.067199 0.023258 0.110236 -1.354331
0.015809 0.065846 0.032561 0.110236 -1.354331
0.019414 0.063532 0.041864 0.110236 -1.354331
0.022871 0.061998 0.051167 0.110236 -1.354331
0.027056 0.060432 0.060470 0.110236 -1.354331
0.031401 0.057795 0.069773 0.110236 -1.354331
0.034936 0.056149 0.079076 0.110236 -1.354331
0.039191 0.056063 0.088379 0.110236 -1.354331
0.043095 0.054053 0.097682 0.110236 -1.354331
0.047575 0.051531 0.106985 0.110236 -1.354331
0.052049 0.051572 0.116288 0.110236 -1.354331
0.055651 0.050432 0.125591 0.110236 -1.354331
0.059413 0.050883 0.134894 0.110236 -1.354331
0.063119 0.048485 0.144197 0.110236 -1.354331
0.067740 0.047581 0.153500 0.110236 -1.354331
0.071816 0.046802 0.162803 0.110236 -1.354331
0.075510 0.044242 0.172106 0.110236 -1.354331
0.079182 0.045125 0.181409 0.110236 -1.354331
0.082290 0.043873 0.190712 0.110236 -1.354331
0.085784 0.043245 0.200015 0.110236 -1.354331
0.089847 0.041669 0.209319 0.110236 -1.354331
0.093993 0.040242 0.218622 0.110236 -1.354331
0.098512 0.039212 0.227925 0.110236 -1.354331
0.102499 0.038729 0.237228 0.110236 -1.354331
0.106356 0.037442 0.246531 0.110236 -1.354331
0.110980 0.037430 0.255834 0.110236 -1.354331
0.115478 0.035975 0.265137 0.110236 -1.354331
0.119221 0.035772 0.274440 0.110236 -1.354331
0.123010 0.035301 0.283743 0.110236 -1.354331
0.127181 0.034347 0.293046 0.110236 -1.354331
0.131453 0.033753 0.302349 0.110236 -1.354331
0.135633 0.033664 0.311652 0.110236 -1.354331
0.139759 0.033008 0.320955 0.110236 -1.354331
0.143874 0.032185 0.330258 0.110236 -1.354331
0.149130 0.030690 0.339561 0.110236 -1.354331
0.153216 0.029425 0.348864 0.110236 -1.354331
0.158095 0.028629 0.358167 0.110236 -1.354331
0.162442 0.028349 0.367470 0.110236 -1.354331
0.165813 0.027266 0.376773 0.110236 -1.354331
0.168536 0.027651 0.386076 0.110236 -1.354331
0.173175 0.026554 0.395379 0.110236 -1.354331
0.177403 0.025182 0.404682 0.110236 -1.354331
0.180070 0.026543 0.413986 0.110236 -1.354331
0.183263 0.025988 0.423289 0.110236 -1.354331
0.186901 0.024939 0.432592 0.110236 -1.354331
0.190180 0.024533 0.441895 0.110236 -1.354331
0.193679 0.024950 0.451198 0.110236 -1.354331
0.197494 0.023377 0.460501 0.110236 -1.354331
0.201425 0.023523 0.469804 0.110236 -1.354331
0.206356 0.022749 0.479107 0.110236 -1.354331
0.209962 0.021838 0.488410 0.110236 -1.354331
0.213889 0.020911 0.497713 0.110236 -1.354331
0.218177 0.020185 0.507016 0.110236 -1.354331
0.221436 0.020384 0.516319 0.110236 -1.354331
0.225946 0.018922 0.525622 0.110236 -1.354331
0.230622 0.018805 0.534925 0.110236 -1.354331
0.234524 0.017789 0.544228 0.110236 -1.354331
0.238027 0.018115 0.553531 0.110236 -1.354331
0.241940 0.017410 0.562834 0.110236 -1.354331
0.246172 0.017312 0.572137 0.110236 -1.354331
0.249413 0.016522 0.581440 0.110236 -1.354331
0.253004 0.016246 0.590743 0.110236 -1.354331
0.256950 0.015419 0.600046 0.110236 -1.354331
0.260492 0.016122 0.609349 0.110236 -1.354331
0.265057 0.015199 0.618653 0.110236 -1.354331
0.269919 0.014438 0.627956 0.110236 -1.354331
0.273922 0.014255 0.637259 0.110236 -1.354331
0.277955 0.013136 0.646562 0.110236 -1.354331
0.281976 0.012574 0.655865 0.110236 -1.354331
0.285258 0.013027 0.665168 0.110236 -1.354331
0.289324 0.011874 0.674471 0.110236 -1.354331
0.293245 0.011936 0.683774 0.110236 -1.354331
0.297997 0.011665 0.693077 0.110236 -1.354331
0.301556 0.011349 0.702380 0.110236 -1.354331
0.305597 0.010101 0.711683 0.110236 -1.354331
0.309078 0.009787 0.720986 0.110236 -1.354331
0.313590 0.009555 0.730289 0.110236 -1.354331
0.317086 0.009209 0.739592 0.110236 -1.354331
0.321125 0.008684 0.748895 0.110236 -1.354331
0.324690 0.008678 0.758198 0.110236 -1.354331
0.327427 0.008031 0.767501 0.110236 -1.354331
0.330404 0.008217 0.776804 0.110236 -1.354331
0.334226 0.007155 0.786107 0.110236 -1.354331
0.338460 0.006230 0.795410 0.110236 -1.354331
0.342876 0.005679 0.804713 0.110236 -1.354331
0.347307 0.005355 0.814017 0.110236 -1.354331
0.351343 0.004697 0.823320 0.110236 -1.354331
0.355221 0.004886 0.832623 0.110236 -1.354331
0.359349 0.004630 0.841926 0.110236 -1.354331
0.363070 0.004690 0.851229 0.110236 -1.354331
0.366643 0.003841 0.860532 0.110236 -1.354331
0.371331 0.002815 0.869835 0.110236 -1.354331
0.374930 0.002587 0.879138 0.110236 -1.354331
0.378107 0.002539 0.888441 0.110236 -1.354331
0.382433 0.001775 0.897744 0.110236 -1.354331
0.386744 0.001348 0.907047 0.110236 -1.354331
0.391242 0.000714 0.916350 0.110236 -1.354331
0.395116 0.001183 0.925653 0.110236 -1.354331
0.399219 0.000479 0.934956 0.110236 -1.354331
0.404179 -0.000094 0.944259 0.110236 -1.354331
0.408653 -0.000621 0.953562 0.110236 -1.354331
0.411843 -0.000904 0.962865 0.110236 -1.354331
0.415111 -0.000971 0.972168 0.110236 -1.354331
0.419269 -0.001580 0.981471 0.110236 -1.354331
0.423112 -0.001475 0.990774 0.110236 -1.354331
0.426817 -0.002716 1.000077 0.110236 -1.354331
0.431074 -0.003294 1.009380 0.110236 -1.354331
0.434887 -0.002774 1.018684 0.110236 -1.354331
0.439931 -0.003929 1.027987 0.110236 -1.354331
0.444203 -0.004267 1.037290 0.110236 -1.354331
0.448126 -0.004789 1.046593 0.110236 -1.354331
0.452593 -0.004994 1.055896 0.110236 -1.354331
0.456909 -0.005135 1.065199 0.110236 -1.354331
0.461042 -0.006154 1.074502 0.110236 -1.354331
0.464772 -0.005784 1.083805 0.110236 -1.354331
0.468947 -0.007053 1.093108 0.110236 -1.354331
0.473439 -0.007481 1.102411 0.110236 -1.354331
0.477153 -0.007693 1.111714 0.110236 -1.354331
0.479919 -0.006997 1.121017 0.110236 -1.354331
0.483069 -0.006591 1.130320 0.110236 -1.354331
0.486424 -0.008418 1.139623 0.110236 -1.354331
0.490637 -0.009152 1.148926 0.110236 -1.354331
0.494708 -0.009569 1.158229 0.110236 -1.354331
0.499047 -0.010549 1.167532 0.110236 -1.354331
0.503905 -0.010904 1.176835 0.110236 -1.354331
0.509627 -0.011432 1.186138 0.110236 -1.354331
0.514078 -0.011175 1.195441 0.110236 -1.354331
0.518297 -0.012438 1.204744 0.110236 -1.354331
0.523495 -0.013296 1.214047 0.110236 -1.354331
0.527619 -0.013130 1.223351 0.110236 -1.354331
0.531316 -0.013562 1.232654 0.110236 -1.354331
0.535180 -0.013481 1.241957 0.110236 -1.354331
0.539026 -0.014203 1.251260 0.110236 -1.354331
0.542773 -0.014122 1.260563 0.110236 -1.354331
0.546634 -0.015421 1.269866 0.110236 -1.354331
0.551666 -0.015070 1.279169 0.110236 -1.354331
0.555989 -0.015575 1.288472 0.110236 -1.354331
0.560233 -0.016331 1.297775 0.110236 -1.354331
0.564449 -0.016892 1.307078 0.110236 -1.354331
0.567926 -0.017261 1.316381 0.110236 -1.354331
0.573062 -0.018216 1.325684 0.110236 -1.354331
0.577513 -0.019163 1.334987 0.110236 -1.354331
0.581382 -0.019188 1.344290 0.110236 -1.354331
0.585411 -0.019255 1.353593 0.110236 -1.354331
0.589497 -0.019148 1.362896 0.110236 -1.354331
0.592759 -0.019769 1.372199 0.110236 -1.354331
0.595687 -0.019686 1.381502 0.110236 -1.354331
0.599608 -0.019733 1.390805 0.110236 -1.354331
0.603823 -0.020851 1.400108 0.110236 -1.354331
0.607047 -0.020288 1.409411 0.110236 -1.354331
0.610681 -0.021598 1.418715 0.110236 -1.354331
0.614737 -0.022204 1.428017 0.110236 -1.354331
0.618835 -0.022440 1.437321 0.110236 -1.354331
0.622041 -0.023256 1.446624 0.110236 -1.354331
0.626534 -0.024099 1.455927 0.110236 -1.354331
0.630466 -0.023878 1.465230 0.110236 -1.354331
0.633911 -0.023711 1.474533 0.110236 -1.354331
0.636966 -0.024399 1.483836 0.110236 -1.354331
0.640615 -0.025102 1.493139 0.110236 -1.354331
0.644380 -0.025271 1.502442 0.110236 -1.354331
0.647527 -0.025704 1.511745 0.110236 -1.354331
0.651384 -0.026184 1.521048 0.110236 -1.354331
0.654937 -0.026916 1.530351 0.110236 -1.354331
0.658052 -0.027194 1.539654 0.110236 -1.354331
0.662085 -0.027720 1.548957 0.110236 -1.354331
0.666616 -0.028566 1.558260 0.110236 -1.354331
0.670504 -0.029107 1.567563 0.110236 -1.354331
0.674246 -0.029189 1.576866 0.110236 -1.354331
0.678552 -0.029279 1.586169 0.110236 -1.354331
0.682533 -0.030046 1.595472 0.110236 -1.354331
0.686220 -0.030982 1.604775 0.110236 -1.354331
0.689328 -0.030520 1.614078 0.110236 -1.354331
0.693004 -0.031049 1.623381 0.110236 -1.354331
0.697066 -0.032720 1.632685 0.110236 -1.354331
0.700948 -0.033325 1.641988 0.110236 -1.354331
0.705389 -0.033806 1.651291 0.110236 -1.354331
0.709331 -0.033834 1.660594 0.110236 -1.354331
0.712618 -0.034124 1.669897 0.110236 -1.354331
0.717407 -0.035555 1.679200 0.110236 -1.354331
0.721749 -0.035121 1.688503 0.110236 -1.354331
0.725602 -0.035798 1.697806 0.110236 -1.354331
0.729378 -0.036312 1.707109 0.110236 -1.354331
0.732759 -0.037243 1.716412 0.110236 -1.354331
0.736050 -0.038039 1.725715 0.110236 -1.354331
0.740191 -0.039391 1.735018 0.110236 -1.354331
0.744672 -0.039840 1.744321 0.110236 -1.354331
0.748932 -0.040748 1.753624 0.110236 -1.354331
0.754002 -0.041103 1.762927 0.110236 -1.354331
0.758469 -0.041987 1.772230 0.110236 -1.354331
0.762897 -0.042380 1.781533 0.110236 -1.354331
0.767271 -0.043428 1.790836 0.110236 -1.354331
0.772444 -0.044312 1.800139 0.110236 -1.354331
0.776850 -0.044993 1.809442 0.110236 -1.354331
0.781081 -0.046062 1.818745 0.110236 -1.354331
0.784987 -0.045350 1.828048 0.110236 -1.354331
0.788285 -0.045694 1.837352 0.110236 -1.354331
0.792478 -0.046755 1.846655 0.110236 -1.354331
0.795953 -0.045821 1.855958 0.110236 -1.354331
0.799719 -0.048787 1.865261 0.110236 -1.354331
0.804375 -0.049380 1.874564 0.110236 -1.354331
0.807948 -0.050037 1.883867 0.110236 -1.354331
0.811678 -0.050646 1.893170 0.110236 -1.354331
0.815159 -0.051573 1.902473 0.110236 -1.354331
0.819057 -0.052713 1.911776 0.110236 -1.354331
0.822341 -0.053885 1.921079 0.110236 -1.354331
0.825763 -0.054581 1.930382 0.110236 -1.354331
0.829303 -0.055084 1.939685 0.110236 -1.354331
0.833059 -0.054227 1.948988 0.110236 -1.354331
0.838280 -0.057100 1.958291 0.110236 -1.354331
0.843508 -0.059030 1.967594 0.110236 -1.354331
0.847152 -0.059422 1.976897 0.110236 -1.354331
0.850787 -0.059431 1.986200 0.110236 -1.354331
0.854466 -0.059800 1.995503 0.110236 -1.354331
0.858566 -0.063196 2.004806 0.110236 -1.354331
0.862432 -0.063278 2.014109 0.110236 -1.354331
0.866028 -0.063864 2.023412 0.110236 -1.354331
0.870044 -0.064945 2.032716 0.110236 -1.354331
0.873965 -0.065759 2.042019 0.110236 -1.354331
0.877983 -0.067663 2.051322 0.110236 -1.354331
0.881681 -0.067821 2.060625 0.110236 -1.354331
0.885373 -0.070616 2.069928 0.110236 -1.354331
0.889030 -0.072329 2.079231 0.110236 -1.354331
0.892206 -0.071854 2.088534 0.110236 -1.354331
0.896386 -0.074645 2.097837 0.110236 -1.354331
0.900989 -0.076039 2.107140 0.110236 -1.354331
0.905190 -0.076857 2.116443 0.110236 -1.354331
0.909054 -0.082379 2.125746 0.110236 -1.354331
0.913580 -0.084275 2.135049 0.110236 -1.354331
0.918421 -0.085720 2.144352 0.110236 -1.354331
0.922798 -0.091312 2.153655 0.110236 -1.354331
0.926881 -0.088536 2.162958 0.110236 -1.354331
0.930910 -0.091607 2.172261 0.110236 -1.354331
0.935131 -0.094117 2.181564 0.110236 -1.354331
0.939233 -0.099277 2.190867 0.110236 -1.354331
0.942807 -0.101110 2.200170 0.110236 -1.354331
0.946833 -0.106302 2.209473 0.110236 -1.354331
0.950797 -0.106434 2.218776 0.110236 -1.354331
0.954390 -0.111891 2.228080 0.110236 -1.354331
0.957280 -0.117743 2.237382 0.110236 -1.354331
0.000000 -nan 2.246686 0.110236 -1.354331
0.000000 -nan 2.255989 0.110236 -1.354331
0.000000 -nan 2.265292 0.110236 -1.354331
0.000000 -nan 2.274595 0.110236 -1.354331
0.000000 -nan 2.283898 0.110236 -1.354331
0.000000 -nan 2.293201 0.110236 -1.354331
0.000000 -nan 2.302504 0.110236 -1.354331
0.000000 -nan 2.311807 0.110236 -1.354331
0.000000 -nan 2.321110 0.110236 -1.354331
