SoC E[V] Tiempo logChi logEle
0.000010 -0.166681 0.000103 -1.259843 0.299213
0.000000 -nan 0.000310 -1.259843 0.299213
0.000000 -nan 0.000516 -1.259843 0.299213
0.000000 -nan 0.000723 -1.259843 0.299213
0.000000 -nan 0.000930 -1.259843 0.299213
0.000000 -nan 0.001136 -1.259843 0.299213
0.000000 -nan 0.001343 -1.259843 0.299213
0.000000 -nan 0.001549 -1.259843 0.299213
0.000000 -nan 0.001756 -1.259843 0.299213
0.000000 -nan 0.001962 -1.259843 0.299213
0.000000 -nan 0.002169 -1.259843 0.299213
0.000000 -nan 0.002376 -1.259843 0.299213
0.000000 -nan 0.002582 -1.259843 0.299213
0.000000 -nan 0.002789 -1.259843 0.299213
0.000000 -nan 0.002995 -1.259843 0.299213
0.000000 -nan 0.003202 -1.259843 0.299213
0.000000 -nan 0.003409 -1.259843 0.299213
0.000000 -nan 0.003615 -1.259843 0.299213
0.000000 -nan 0.003822 -1.259843 0.299213
0.000000 -nan 0.004028 -1.259843 0.299213
0.000000 -nan 0.004235 -1.259843 0.299213
0.000000 -nan 0.004441 -1.259843 0.299213
0.000000 -nan 0.004648 -1.259843 0.299213
0.000000 -nan 0.004855 -1.259843 0.299213
0.000000 -nan 0.005061 -1.259843 0.299213
0.000000 -nan 0.005268 -1.259843 0.299213
0.000000 -nan 0.005474 -1.259843 0.299213
0.000000 -nan 0.005681 -1.259843 0.299213
0.000000 -nan 0.005887 -1.259843 0.299213
0.000000 -nan 0.006094 -1.259843 0.299213
0.000000 -nan 0.006301 -1.259843 0.299213
0.000000 -nan 0.006507 -1.259843 0.299213
0.000000 -nan 0.006714 -1.259843 0.299213
0.000000 -nan 0.006920 -1.259843 0.299213
0.000000 -nan 0.007127 -1.259843 0.299213
0.000000 -nan 0.007333 -1.259843 0.299213
0.000000 -nan 0.007540 -1.259843 0.299213
0.000000 -nan 0.007747 -1.259843 0.299213
0.000000 -nan 0.007953 -1.259843 0.299213
0.000000 -nan 0.008160 -1.259843 0.299213
0.000000 -nan 0.008366 -1.259843 0.299213
0.000000 -nan 0.008573 -1.259843 0.299213
0.000000 -nan 0.008780 -1.259843 0.299213
0.000000 -nan 0.008986 -1.259843 0.299213
0.000000 -nan 0.009193 -1.259843 0.299213
0.000000 -nan 0.009399 -1.259843 0.299213
0.000000 -nan 0.009606 -1.259843 0.299213
0.000000 -nan 0.009812 -1.259843 0.299213
0.000000 -nan 0.010019 -1.259843 0.299213
0.000000 -nan 0.010226 -1.259843 0.299213
0.000000 -nan 0.010432 -1.259843 0.299213
0.000000 -nan 0.010639 -1.259843 0.299213
0.000000 -nan 0.010845 -1.259843 0.299213
0.000000 -nan 0.011052 -1.259843 0.299213
0.000000 -nan 0.011258 -1.259843 0.299213
0.000000 -nan 0.011465 -1.259843 0.299213
0.000000 -nan 0.011672 -1.259843 0.299213
0.000000 -nan 0.011878 -1.259843 0.299213
0.000000 -nan 0.012085 -1.259843 0.299213
0.000000 -nan 0.012291 -1.259843 0.299213
0.000000 -nan 0.012498 -1.259843 0.299213
0.000000 -nan 0.012704 -1.259843 0.299213
0.000000 -nan 0.012911 -1.259843 0.299213
0.000000 -nan 0.013118 -1.259843 0.299213
0.000000 -nan 0.013324 -1.259843 0.299213
0.000000 -nan 0.013531 -1.259843 0.299213
0.000000 -nan 0.013737 -1.259843 0.299213
0.000000 -nan 0.013944 -1.259843 0.299213
0.000000 -nan 0.014151 -1.259843 0.299213
0.000000 -nan 0.014357 -1.259843 0.299213
0.000000 -nan 0.014564 -1.259843 0.299213
0.000000 -nan 0.014770 -1.259843 0.299213
0.000000 -nan 0.014977 -1.259843 0.299213
0.000000 -nan 0.015183 -1.259843 0.299213
0.000000 -nan 0.015390 -1.259843 0.299213
0.000000 -nan 0.015597 -1.259843 0.299213
0.000000 -nan 0.015803 -1.259843 0.299213
0.000000 -nan 0.016010 -1.259843 0.299213
0.000000 -nan 0.016216 -1.259843 0.299213
0.000000 -nan 0.016423 -1.259843 0.299213
0.000000 -nan 0.016629 -1.259843 0.299213
0.000000 -nan 0.016836 -1.259843 0.299213
0.000000 -nan 0.017043 -1.259843 0.299213
0.000000 -nan 0.017249 -1.259843 0.299213
