SoC E[V] Tiempo logChi logEle
0.003763 0.045725 0.000054 1.244094 0.582677
0.007304 0.036579 0.000161 1.244094 0.582677
0.010753 0.030243 0.000269 1.244094 0.582677
0.014621 0.023906 0.000376 1.244094 0.582677
0.018297 0.021113 0.000484 1.244094 0.582677
0.022117 0.016435 0.000592 1.244094 0.582677
0.025670 0.015737 0.000699 1.244094 0.582677
0.029377 0.011693 0.000807 1.244094 0.582677
0.033950 0.006575 0.000914 1.244094 0.582677
0.037639 0.006227 0.001022 1.244094 0.582677
0.042061 0.001635 0.001129 1.244094 0.582677
0.046731 -0.002030 0.001237 1.244094 0.582677
0.051348 -0.005278 0.001344 1.244094 0.582677
0.055610 -0.006426 0.001452 1.244094 0.582677
0.059572 -0.007855 0.001559 1.244094 0.582677
0.063928 -0.011321 0.001667 1.244094 0.582677
0.068202 -0.011725 0.001775 1.244094 0.582677
0.072279 -0.014827 0.001882 1.244094 0.582677
0.076613 -0.016977 0.001990 1.244094 0.582677
0.080849 -0.018163 0.002097 1.244094 0.582677
0.085385 -0.020816 0.002205 1.244094 0.582677
0.089086 -0.020308 0.002312 1.244094 0.582677
0.092796 -0.021216 0.002420 1.244094 0.582677
0.095869 -0.019393 0.002527 1.244094 0.582677
0.099066 -0.021580 0.002635 1.244094 0.582677
0.104629 -0.028249 0.002743 1.244094 0.582677
0.109104 -0.028220 0.002850 1.244094 0.582677
0.112252 -0.027335 0.002958 1.244094 0.582677
0.115594 -0.028086 0.003065 1.244094 0.582677
0.119341 -0.029623 0.003173 1.244094 0.582677
0.122421 -0.028497 0.003280 1.244094 0.582677
0.126358 -0.031828 0.003388 1.244094 0.582677
0.130067 -0.033136 0.003495 1.244094 0.582677
0.133837 -0.035032 0.003603 1.244094 0.582677
0.138184 -0.039730 0.003711 1.244094 0.582677
0.142750 -0.044506 0.003818 1.244094 0.582677
0.146749 -0.047086 0.003926 1.244094 0.582677
0.151198 -0.049912 0.004033 1.244094 0.582677
0.155010 -0.048957 0.004141 1.244094 0.582677
0.158649 -0.052270 0.004248 1.244094 0.582677
0.162460 -0.053454 0.004356 1.244094 0.582677
0.166425 -0.054679 0.004463 1.244094 0.582677
0.170042 -0.056075 0.004571 1.244094 0.582677
0.173799 -0.059564 0.004678 1.244094 0.582677
0.177613 -0.061399 0.004786 1.244094 0.582677
0.180949 -0.062317 0.004894 1.244094 0.582677
0.184488 -0.061519 0.005001 1.244094 0.582677
0.188098 -0.066375 0.005109 1.244094 0.582677
0.191770 -0.069214 0.005216 1.244094 0.582677
0.195534 -0.068631 0.005324 1.244094 0.582677
0.199468 -0.075107 0.005431 1.244094 0.582677
0.202950 -0.078890 0.005539 1.244094 0.582677
0.206294 -0.075896 0.005646 1.244094 0.582677
0.209602 -0.079276 0.005754 1.244094 0.582677
0.213421 -0.092826 0.005862 1.244094 0.582677
0.217445 -0.108502 0.005969 1.244094 0.582677
0.221140 -0.119499 0.006077 1.244094 0.582677
0.224872 -0.118055 0.006184 1.244094 0.582677
0.227525 -0.117601 0.006292 1.244094 0.582677
0.000000 -nan 0.006399 1.244094 0.582677
0.000000 -nan 0.006507 1.244094 0.582677
0.000000 -nan 0.006614 1.244094 0.582677
0.000000 -nan 0.006722 1.244094 0.582677
0.000000 -nan 0.006830 1.244094 0.582677
0.000000 -nan 0.006937 1.244094 0.582677
0.000000 -nan 0.007045 1.244094 0.582677
0.000000 -nan 0.007152 1.244094 0.582677
