SoC E[V] Tiempo logChi logEle
0.002042 -0.086640 0.004652 -1.401575 -1.354331
0.005684 -0.087459 0.013955 -1.401575 -1.354331
0.009744 -0.087999 0.023258 -1.401575 -1.354331
0.013887 -0.088533 0.032561 -1.401575 -1.354331
0.017984 -0.088918 0.041864 -1.401575 -1.354331
0.021805 -0.089156 0.051167 -1.401575 -1.354331
0.025766 -0.089670 0.060470 -1.401575 -1.354331
0.029934 -0.090091 0.069773 -1.401575 -1.354331
0.034241 -0.090261 0.079076 -1.401575 -1.354331
0.038163 -0.090880 0.088379 -1.401575 -1.354331
0.042022 -0.091265 0.097682 -1.401575 -1.354331
0.046027 -0.091401 0.106985 -1.401575 -1.354331
0.050398 -0.092164 0.116288 -1.401575 -1.354331
0.054777 -0.092274 0.125591 -1.401575 -1.354331
0.059148 -0.093097 0.134894 -1.401575 -1.354331
0.062857 -0.093028 0.144197 -1.401575 -1.354331
0.066764 -0.093667 0.153500 -1.401575 -1.354331
0.070729 -0.094065 0.162803 -1.401575 -1.354331
0.074801 -0.094593 0.172106 -1.401575 -1.354331
0.078776 -0.095336 0.181409 -1.401575 -1.354331
0.082842 -0.095165 0.190712 -1.401575 -1.354331
0.087298 -0.096025 0.200015 -1.401575 -1.354331
0.091387 -0.096189 0.209319 -1.401575 -1.354331
0.094937 -0.096270 0.218622 -1.401575 -1.354331
0.098781 -0.097146 0.227925 -1.401575 -1.354331
0.102738 -0.097466 0.237228 -1.401575 -1.354331
0.106719 -0.098076 0.246531 -1.401575 -1.354331
0.111032 -0.098380 0.255834 -1.401575 -1.354331
0.115068 -0.098780 0.265137 -1.401575 -1.354331
0.119040 -0.099303 0.274440 -1.401575 -1.354331
0.123193 -0.099647 0.283743 -1.401575 -1.354331
0.126936 -0.100017 0.293046 -1.401575 -1.354331
0.130825 -0.100782 0.302349 -1.401575 -1.354331
0.134934 -0.100992 0.311652 -1.401575 -1.354331
0.139333 -0.101545 0.320955 -1.401575 -1.354331
0.143638 -0.102062 0.330258 -1.401575 -1.354331
0.147727 -0.102622 0.339561 -1.401575 -1.354331
0.152086 -0.102826 0.348864 -1.401575 -1.354331
0.156150 -0.103194 0.358167 -1.401575 -1.354331
0.160214 -0.103952 0.367470 -1.401575 -1.354331
0.164652 -0.104526 0.376773 -1.401575 -1.354331
0.168906 -0.104642 0.386076 -1.401575 -1.354331
0.172858 -0.104938 0.395379 -1.401575 -1.354331
0.176287 -0.105492 0.404682 -1.401575 -1.354331
0.180489 -0.106380 0.413986 -1.401575 -1.354331
0.184944 -0.106559 0.423289 -1.401575 -1.354331
0.188957 -0.106632 0.432592 -1.401575 -1.354331
