SoC E[V] Tiempo logChi logEle
0.002884 0.004983 0.000103 0.299213 0.299213
0.006793 -0.002469 0.000310 0.299213 0.299213
0.010583 -0.006487 0.000516 0.299213 0.299213
0.014183 -0.010726 0.000723 0.299213 0.299213
0.018562 -0.014412 0.000930 0.299213 0.299213
0.022889 -0.017230 0.001136 0.299213 0.299213
0.027425 -0.023146 0.001343 0.299213 0.299213
0.031850 -0.025320 0.001549 0.299213 0.299213
0.035964 -0.026226 0.001756 0.299213 0.299213
0.039843 -0.029379 0.001962 0.299213 0.299213
0.043791 -0.031888 0.002169 0.299213 0.299213
0.048018 -0.035946 0.002376 0.299213 0.299213
0.052057 -0.036931 0.002582 0.299213 0.299213
0.055911 -0.036499 0.002789 0.299213 0.299213
0.059660 -0.036714 0.002995 0.299213 0.299213
0.063669 -0.040501 0.003202 0.299213 0.299213
0.067880 -0.041699 0.003409 0.299213 0.299213
0.071736 -0.042792 0.003615 0.299213 0.299213
0.075436 -0.043025 0.003822 0.299213 0.299213
0.079676 -0.044221 0.004028 0.299213 0.299213
0.083537 -0.046090 0.004235 0.299213 0.299213
0.087494 -0.046910 0.004441 0.299213 0.299213
0.091423 -0.049008 0.004648 0.299213 0.299213
0.095819 -0.051768 0.004855 0.299213 0.299213
0.099490 -0.050380 0.005061 0.299213 0.299213
0.102899 -0.051608 0.005268 0.299213 0.299213
0.106937 -0.055465 0.005474 0.299213 0.299213
0.110925 -0.055539 0.005681 0.299213 0.299213
0.114924 -0.056347 0.005887 0.299213 0.299213
0.119122 -0.057331 0.006094 0.299213 0.299213
0.122892 -0.059112 0.006301 0.299213 0.299213
0.126761 -0.059845 0.006507 0.299213 0.299213
0.130518 -0.061073 0.006714 0.299213 0.299213
0.134812 -0.062620 0.006920 0.299213 0.299213
0.138602 -0.062965 0.007127 0.299213 0.299213
0.142736 -0.064242 0.007333 0.299213 0.299213
0.146472 -0.064979 0.007540 0.299213 0.299213
0.150521 -0.064445 0.007747 0.299213 0.299213
0.154944 -0.067586 0.007953 0.299213 0.299213
0.158992 -0.068093 0.008160 0.299213 0.299213
0.162845 -0.069162 0.008366 0.299213 0.299213
0.166741 -0.071415 0.008573 0.299213 0.299213
0.170532 -0.071639 0.008780 0.299213 0.299213
0.174155 -0.072723 0.008986 0.299213 0.299213
0.178033 -0.074825 0.009193 0.299213 0.299213
0.182379 -0.076443 0.009399 0.299213 0.299213
0.186562 -0.079937 0.009606 0.299213 0.299213
0.191021 -0.079548 0.009812 0.299213 0.299213
0.194465 -0.077786 0.010019 0.299213 0.299213
0.198143 -0.081990 0.010226 0.299213 0.299213
0.202458 -0.083298 0.010432 0.299213 0.299213
0.206286 -0.082086 0.010639 0.299213 0.299213
