SoC E[V] Tiempo logChi logEle
0.003735 0.065771 0.001014 0.488189 -0.692913
0.007443 0.059320 0.003043 0.488189 -0.692913
0.012110 0.052495 0.005072 0.488189 -0.692913
0.016079 0.049782 0.007100 0.488189 -0.692913
0.020605 0.046051 0.009129 0.488189 -0.692913
0.024675 0.045758 0.011158 0.488189 -0.692913
0.028106 0.045651 0.013186 0.488189 -0.692913
0.032154 0.041943 0.015215 0.488189 -0.692913
0.036342 0.040578 0.017244 0.488189 -0.692913
0.039977 0.039704 0.019272 0.488189 -0.692913
0.043631 0.038022 0.021301 0.488189 -0.692913
0.047229 0.037355 0.023330 0.488189 -0.692913
0.051214 0.033529 0.025358 0.488189 -0.692913
0.055197 0.035799 0.027387 0.488189 -0.692913
0.058673 0.033805 0.029415 0.488189 -0.692913
0.063008 0.031127 0.031444 0.488189 -0.692913
0.066403 0.032484 0.033473 0.488189 -0.692913
0.070274 0.032348 0.035501 0.488189 -0.692913
0.073739 0.032319 0.037530 0.488189 -0.692913
0.077053 0.029221 0.039559 0.488189 -0.692913
0.081279 0.027906 0.041587 0.488189 -0.692913
0.085306 0.027617 0.043616 0.488189 -0.692913
0.089207 0.027794 0.045645 0.488189 -0.692913
0.093225 0.024963 0.047673 0.488189 -0.692913
0.097679 0.023807 0.049702 0.488189 -0.692913
0.102430 0.021908 0.051731 0.488189 -0.692913
0.106154 0.022918 0.053759 0.488189 -0.692913
0.110066 0.022932 0.055788 0.488189 -0.692913
0.113250 0.022080 0.057817 0.488189 -0.692913
0.117004 0.019718 0.059845 0.488189 -0.692913
0.121262 0.019285 0.061874 0.488189 -0.692913
0.125910 0.018036 0.063903 0.488189 -0.692913
0.130098 0.017659 0.065931 0.488189 -0.692913
0.134157 0.017678 0.067960 0.488189 -0.692913
0.138192 0.016098 0.069989 0.488189 -0.692913
0.141689 0.016406 0.072017 0.488189 -0.692913
0.145726 0.014527 0.074046 0.488189 -0.692913
0.149546 0.014851 0.076075 0.488189 -0.692913
0.152861 0.013823 0.078103 0.488189 -0.692913
0.156782 0.013799 0.080132 0.488189 -0.692913
0.160436 0.013909 0.082160 0.488189 -0.692913
0.163884 0.011807 0.084189 0.488189 -0.692913
0.167544 0.010556 0.086218 0.488189 -0.692913
0.171645 0.010838 0.088246 0.488189 -0.692913
0.175050 0.012125 0.090275 0.488189 -0.692913
0.178465 0.010734 0.092304 0.488189 -0.692913
0.182796 0.008989 0.094332 0.488189 -0.692913
